Frame,Pupil
0,2221.9350191828953
1,2224.602746481436
2,2298.2109613374478
3,2296.297016198124
4,2278.6318038315017
5,2264.315707532027
6,2248.283064144636
7,2240.3353745477084
8,2230.232601464018
9,2228.0634467968
10,2236.939736440269
11,2243.463112949756
12,2222.457156625428
13,2236.235773274482
14,2221.4128817403625
15,2226.748336337444
16,2236.36307697813
17,2239.271170835024
18,2241.89078794971
19,2248.1459555918354
20,2233.9573212761325
21,2236.3974229527407
22,2238.3671678370106
23,2239.043034962253
24,2268.420921375298
25,2283.7209030761637
26,2273.083105338144
27,2282.426090114033
28,2268.117964716914
29,2270.0316872219264
30,2278.7890451570015
31,2294.692939567606
32,2276.925656657266
33,2288.8358572435895
34,2286.3311513344074
35,2284.239778643619
36,2267.1518963344984
37,2266.644881972385
38,2257.704426081626
39,2255.512781092739
40,2240.160441051937
41,2237.4313284871005
42,2207.385145583323
43,2204.7364450244954
44,2204.304680119679
45,2205.9231495123254
46,2232.325627120854
47,2225.1772390309966
48,2251.9783724911563
49,2233.5693502341487
50,2248.153163509146
51,2240.9626802240496
52,2232.1938434002154
53,2212.244357901369
54,2229.2939483401315
55,2226.313688395774
56,2241.818876564874
57,2224.1049560994848
58,2231.9852994138823
59,2230.591249145984
60,2234.8818498517544
61,2231.1967318271627
62,2238.9006449029985
63,2253.9104715447925
64,2247.08507521167
65,2238.071667707012
66,2227.6934093644895
67,2248.7489218517117
68,2232.805367061668
69,2232.681371281274
70,2243.7777749103875
71,2244.7619806237562
72,2269.2379765642545
73,2264.87553163519
74,2265.4527190276444
75,2274.4468073964235
76,2240.6936275843123
77,2239.9534451040954
78,2226.0418392865845
79,2230.100652371643
80,2244.3136355507995
81,2224.54074076359
82,2242.6260491299945
83,2285.7291713364243
84,2301.1514545015657
85,2297.787549841671
86,2282.719418135796
87,2297.623037901627
88,2298.6959400652154
89,2288.6653358470176
90,2289.3395572324457
91,2304.0143016691977
92,2301.37713496703
93,2316.0802451585937
94,2313.0794576887724
95,2292.4532995782383
96,2319.4035848598314
97,2326.58965370415
98,2325.496305577222
99,2330.7390531823194
100,2318.5953512364686
101,2327.33153045597
102,2327.362913556985
103,2324.914922311218
104,2318.2782203752577
105,2325.707962762635
106,2320.9246934766443
107,2316.51244246812
108,2330.6829538336374
109,2331.240439724153
110,2331.7281246234616
111,2339.100881846293
112,2263.6216364772026
113,2280.0194619352887
114,2300.491393061922
115,2292.7112348022847
116,2290.693599166154
117,2284.906009809263
118,2281.963942074423
119,2284.4150645178242
120,2278.1886065736926
121,2278.6127067129732
122,2285.2060942999497
123,2295.0358606415957
124,2277.4641669226576
125,2277.65970203184
126,2274.92963201331
127,2267.503337808517
128,2272.938739726876
129,2260.752318987419
130,2253.8770179001776
131,2254.997990556734
132,2231.8762414088387
133,2222.5119259772796
134,2222.1914430253714
135,2209.6384576010028
136,2216.210990708304
137,2213.9827972293574
138,2218.5765014503554
139,2215.2750778254417
140,2241.4917533312814
141,2240.3067643136824
142,2229.3499482537595
143,2260.189239123617
144,2259.471555161448
145,2236.831788442394
146,2231.1745803667995
147,2237.042462606084
148,2254.3608588194134
149,2259.406606134986
150,2257.7435614008164
151,2285.535003633793
152,2277.636240137807
153,2284.1006535948572
154,2272.1054798406267
155,2269.3606675591122
156,2273.7460818047484
157,2280.0502265156215
158,2293.4546072865983
159,2247.443712609981
160,2272.6086641175266
161,2280.893936965974
162,2292.753241144254
163,2297.254414253863
164,2286.7195935947243
165,2277.2515911220653
166,2297.161386578038
167,2287.2619945488277
168,2302.3762760442355
169,2285.2135906818794
170,2293.0199193108165
171,2292.1558974454633
172,2293.34752935877
173,2233.5870791999914
174,2267.1859701142807
175,2274.054950927654
176,2280.6972546808147
177,2291.542471328027
178,2297.7414678903424
179,2285.568201507669
180,2300.267814698864
181,2289.8879743887223
182,2297.2091548407484
183,2291.6146896035116
184,2288.602234704412
185,2284.4344975733497
186,2277.084911804988
187,2284.1740790783856
188,2283.9742070405914
189,2290.608427421591
190,2289.817303961527
191,2298.7668650473215
192,2286.7650665805318
193,2275.6344484552337
194,2282.710611725376
195,2296.109832465454
196,2303.7715212094017
197,2285.2581461167338
198,2318.5596843608073
199,2305.6821909059145
200,2272.281977686293
201,2287.308195659092
202,2246.9331773650633
203,2266.4767266164854
204,2302.082106748466
205,2305.8658585702847
206,2308.97235636147
207,2312.8960529695446
208,2299.3951538141405
209,2283.0688980404775
210,2294.8985820568073
211,2301.3935759094916
212,2274.2489205690126
213,2274.2790343550028
214,2269.7307122343796
215,2254.1287605609323
216,2231.0889113271405
217,2233.2196144449513
218,2217.728129158348
219,2225.764518081886
220,2216.7538431513613
221,2216.411963219784
222,2217.5648407800513
223,2228.84251057117
224,2229.2858537916104
225,2229.312855494931
226,2237.6586092396446
227,2228.7376740383056
228,2246.065602020434
229,2250.03605081173
230,2268.093148196385
231,2268.424391634084
232,2265.40769256855
233,2184.904436799611
234,2248.0892946126896
235,2268.9210322748604
236,2264.5588696519103
237,2260.582662771754
238,2248.2199524498474
239,2259.551355189118
240,2260.498164024611
241,2270.796805089114
242,2264.2014838393147
243,2259.154966923561
244,2259.4284530814953
245,2250.911012609824
246,2260.285633068971
247,2267.3264659167758
248,2262.7384823334733
249,2255.141523765171
250,2238.505081735013
251,2243.9369921619
252,2247.4471413784777
253,2237.4039333030883
254,2231.869863755712
255,2246.2324266247074
256,2251.417337543726
257,2228.013981421073
258,2237.001768178157
259,2261.1128941649094
260,2256.933885683788
261,2242.472184613834
262,2260.810661376447
263,2260.746477962333
264,2285.8124839767706
265,2285.7849941178265
266,2255.1619092631763
267,2276.8490007032274
268,2279.1819825458338
269,2284.409037886663
270,2290.181031198395
271,2284.261527717213
272,2297.106257369052
273,2285.6852635673895
274,2289.552754871929
275,2277.0987678261504
276,2310.231948456959
277,2310.01629510586
278,2305.9443388556515
279,2299.878537008989
280,2294.7846102678345
281,2312.6040349197997
282,2318.972257349173
283,2308.252530213189
284,2297.2299996580796
285,2301.350248526985
286,2283.6624324200793
287,2269.1719262250335
288,2262.905349388581
289,2272.8702800584447
290,2259.4889032591786
291,2281.868380072931
