Frame,Pupil
0,2247.355035031424
1,2263.2735872439807
2,2279.8915122378576
3,2308.9195925601257
4,2327.670616213863
5,2333.700446656405
6,2337.9797985185087
7,2342.101885682163
8,2353.1240188699803
9,2333.543181957955
10,2382.234120384725
11,2382.0097673209557
12,2352.1249619261853
13,2379.2091092383753
14,2402.8291785861365
15,2382.1219438528406
16,2382.1219438528406
17,2296.04113465048
18,2321.798050469771
19,2333.8577113548545
20,2354.1230758137754
21,2390.3751756031265
22,2427.2973305389864
23,2452.964322428368
24,2306.396806924724
25,2276.092771659895
26,2356.735611055988
27,2407.987308712123
28,2428.5405179347163
29,2313.116191303514
30,2313.116191303514
31,2313.116191303514
32,2313.116191303514
33,2291.244789292309
34,2235.4561178818726
35,2249.3177824299028
36,2165.544797088753
37,2166.267054707826
38,2161.717548751338
39,2131.572467726372
40,2125.307660145028
41,2231.362273531184
42,2165.9059258982898
43,2074.458087128981
44,2064.173097489528
45,2091.037006030266
46,2142.217345321826
47,2151.7555916220977
48,2195.306989173911
49,2202.4750622870424
50,2144.383636742289
51,2225.271822170142
52,2134.180267506945
53,2076.5846501169112
54,2034.2022255320408
55,2048.496806651044
56,2068.5349704471837
57,2092.3285030589473
58,2108.106866171559
59,2147.7855085764613
60,2107.3092788349645
61,2146.549928162752
62,2140.67805855574
63,2203.2157279259186
64,2231.0130493220354
65,2202.7353553358694
66,2198.350347808552
67,2138.0319954016477
68,2131.333245244749
69,2156.0771331284427
70,2147.767962136719
71,2150.063890050251
72,2147.803055016204
73,2153.5162259841236
74,2086.9779093102666
75,2137.2367751450674
76,2109.6551040814074
77,2091.3556796722846
78,2057.2260944514364
79,2044.5133009277224
80,2125.4297153444304
81,2119.9198653020467
82,2097.0541867992833
83,2090.853830953641
84,2058.458689571438
85,2088.915870131954
86,2119.3613013163717
87,2047.9837512295178
88,2036.0948624989892
89,2105.0919985093487
90,2064.6546157438097
91,2008.0244314059873
92,2016.2396750807125
93,2004.5312705490462
94,2104.913290844811
95,2028.9583795813935
96,2028.9583795813935
97,1943.719810883275
98,1927.4009991655023
99,2028.4467747272593
100,2026.0161872409758
101,1914.4138352943703
102,2021.8218966637978
103,1970.9300910964278
104,1973.1959678106855
105,1943.922657050457
106,1935.7654462767057
107,1922.3797842638119
108,2075.2475374331366
109,2077.5080656794994
110,2045.1131440099034
111,2055.068077678896
112,2097.009543007507
113,2032.6410653044372
114,2035.0716527907207
115,2030.210477818154
116,2014.7339092747134
117,1986.6250341281275
118,2152.1430604422844
119,2087.033420651872
120,2008.405820072848
121,2029.8713088956483
122,2040.5239810802286
123,2027.3375482689155
124,2049.4910490790335
125,2064.3657850866784
126,2156.451382682211
127,2093.182495835712
128,2137.3109122535807
129,2030.040893356901
130,2111.9331934798447
131,2028.6044285822818
132,2035.1976449879385
133,2028.6044285822818
134,2023.434675109127
135,2019.5318019493386
136,1969.653195000915
137,1945.2212067037012
138,2000.7794317407838
139,1923.8494019893783
140,1925.031183838571
141,1978.1350688096777
142,1978.1350688096777
143,1867.8201328770065
144,1936.1493130939944
145,1920.9280780060685
146,1922.0365326037222
147,2060.775938954198
148,2014.128870674982
149,2002.6812708399607
150,1959.6393020741366
151,1998.8775926416072
152,1982.4588369547216
153,1937.6208852777365
154,1896.6948000800364
155,1973.8113006646338
156,2077.925309848462
157,2080.2475521391834
158,2053.1105215355788
159,2044.4541173602377
160,2038.1559372933552
161,1971.9281419571241
162,2052.799774596687
163,2061.68081628824
164,2062.456992279582
165,2089.620444473396
166,2101.347413524051
167,2073.2873956062867
168,2076.43599992523
169,2079.0864309938224
170,2085.429496720619
171,2069.9946297660995
172,2090.182861940636
173,2126.1093355280523
174,2074.946690001999
175,2071.628101210575
176,2145.2184913040837
177,2137.197788305743
178,2157.6780065299376
179,2063.2331682709246
180,2162.1168187574503
181,2198.779221924455
182,2239.2666457644473
183,2153.239194302425
184,2200.8473220160295
185,2204.9903815945763
186,2237.844208598918
187,2131.6535619168976
188,2241.0148467067515
189,2233.6109463677253
190,2256.270858624635
191,2157.6780065299376
192,2157.6780065299376
193,2175.0958528686547
194,2157.6780065299376
195,2056.3104874162864
196,2090.779409552666
197,2125.1259930813444
198,2139.6313714107177
199,2081.3723339783455
200,2086.075871765506
201,1997.1418409314222
202,2059.7465710984015
203,1977.9464915241524
204,2000.399404783665
205,1998.0382235752168
206,1996.824523831223
207,1987.5441662277872
208,1976.8943108279277
209,2063.182654780517
210,2001.8642033483186
211,1937.5297002094917
212,1925.7592891754348
213,1975.842130131703
214,1903.528702548099
215,1898.5548246554163
216,1908.5020713111858
217,1891.735809427294
218,1872.6793945948
219,1856.6226377286123
220,1849.8324958537548
221,1866.366117219825
222,1857.7121351154244
223,1825.2060175005292
224,1837.519256677142
225,1688.0335175797788
226,1741.6968600724372
227,1713.339350409225
228,1729.5061253825033
229,1716.6084259109632
230,1744.7746324370473
231,1620.9786343092544
232,1598.9180437583777
233,1621.793379150134
234,1654.2481068029908
235,1649.7227754139074
236,1663.730984587511
237,1654.6420510741114
238,1660.14480355619
239,1683.4083847320098
240,1739.1347493523056
241,1719.8775014127013
242,1661.8249687325178
243,1624.031230154975
244,1690.4813605350146
245,1678.4731829315162
246,1622.763118999689
247,1642.8133239386632
248,1641.6262429547767
249,1607.8394863448716
250,1705.179430973858
251,1723.2441104278682
