node_name,"LFP peak (avg, mV)","LFP peak (std, mV)","early spike median timing
(avg, ms)","early spike median timing
(std, ms)",early spike num (avg),early spike num (std),"early spike first timing
(avg, ms)","early spike first timing
(std, ms)","sustained spike median timing
(avg, ms)","sustained spike median timing
(std, ms)",sustained spike num (avg),sustained spike num (std),"sustained spike first timing
(avg, ms)","sustained spike first timing
(std, ms)","pre-stim spont FR (avg, Hz)","pre-stim spont FR (std, Hz)",Spike width (ms),Spike asymmetry (a.u.),CV2 (a.u.),ACG rise time (s),cohort
"(Cohort_SST_WC Mice_JPCM08449 Fov_only Cell_001, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250304 Session_250304_001_152605)",-2.7320334136710613,3.0314440769443034,4.4900000000325235,0.6500000000073669,0.09523809523809523,0.2935435239509036,4.4900000000325235,0.6500000000073669,290.15250000001913,133.82442473723404,1.380952380952381,2.0113059125659882,214.1450000000276,136.0073627602471,3.25,5.078139423056441,2.9309986829352,-0.004380761450436744,0.9974164543126789,0.0145,SST_WC
"(Cohort_SST_WC Mice_JPCM08449 Fov_only Cell_004, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250304 Session_250304_004_165758)",-3.69793471012427,1.7877290836121573,25.391041666678642,1.7564387378830209,1.52,0.7547184905645283,24.131666666680946,1.5793370620442877,262.4900000000166,94.08018205107163,3.84,3.0023990407672327,149.32571428572518,100.4775693315499,3.16,2.6180909075125713,2.941027565997689,-0.0061455253209683975,1.0439677863290422,0.019500000000000003,SST_WC
"(Cohort_SST_WC Mice_JPCM08450 Fov_only Cell_005, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250227 Session_250227_005_165639)",-3.555726545910266,1.2755968758754053,26.252500000026657,2.966663740631608,0.6428571428571429,0.6102859818083951,26.115000000025645,3.2282928925351193,299.41954545458054,113.31844500935534,3.0714285714285716,4.096414559697048,230.72181818185362,138.56174743138513,0.16666666666666666,0.372677996249965,2.756608078937809,-0.029656645764384294,1.1005071027720714,0.018500000000000003,SST_WC
"(Cohort_SST_WC Mice_JPCM08451 Fov_only Cell_005, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250225 Session_250225_005_162028)",-3.251713304522244,1.137469014574041,20.960312500035272,4.82124383223136,0.8461538461538461,0.8177035240565115,19.815000000036775,6.014929342888738,309.5920000000217,64.29152584905853,5.384615384615385,2.7883952246756705,176.1120000000153,62.15889329773656,2.6923076923076925,1.7490487693695496,2.7176795002207,0.0020586611261941452,0.8552486138175505,8.8355,SST_WC
"(Cohort_PV_JUX Mice_JPCM09145 Fov_only Cell_001, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250710 Session_250710_001_143803)",-0.7751996023029146,0.3724279764285997,24.066250000016964,6.6759665732809825,1.95,0.49749371855331004,19.11500000001638,7.633749078926411,203.708750000024,58.00278327104792,11.25,5.494315243958978,60.96750000001805,25.020588896947245,10.7,4.050925820105819,0.2515149087797,0.1590419806256197,0.8910096953295588,0.021500000000000002,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09145 Fov_only Cell_003, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250710 Session_250710_003_150531)",-1.1743539342299911,0.4995076174753184,20.985625000020747,3.5846019980351445,3.8,1.307669683062202,12.35500000002503,7.0179965089685385,155.01750000002303,69.65384317286508,8.925,6.030702695374727,63.09250000002038,38.67514374569156,25.525,9.4630531542415,0.23386514645539222,0.23871460129317265,0.7483582509997613,0.009500000000000001,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09145 Fov_only Cell_004, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250710 Session_250710_004_152309)",-1.1784060360435962,0.3940178929028893,18.967500000030668,2.725503393864275,2.731707317073171,1.514553628903417,14.83625000003741,5.293278609469582,219.98207317076475,62.67530790272909,21.170731707317074,6.3395869644037965,68.99853658539608,34.90071790168799,37.073170731707314,13.929071623332398,0.2722614505485316,0.27831736223632664,0.6912059943066122,0.009500000000000001,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09145 Fov_only Cell_006, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250710 Session_250710_006_155841)",-0.9814541321628321,0.4182178533143489,21.337560975625504,2.553535359386629,4.2926829268292686,1.5810447678674977,14.275365853678998,6.408419042342179,252.75829268295075,78.98447594159639,19.048780487804876,7.344987404768278,104.84609756099486,62.88682070925321,29.585365853658537,14.761478559290563,0.5546345300687742,0.1309139282274794,0.7191400970537586,0.009500000000000001,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09146 Fov_only Cell_001, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250716 Session_250716_001_175121)",-1.2501468505972104,0.4208441968118196,23.13166666666433,4.769299971926035,2.6666666666666665,0.9428090415820634,17.62666666666538,7.700854209471261,90.86833333333146,47.56565275724375,5.533333333333333,2.6549743668986507,49.20999999999746,13.666245521970971,17.8,7.240626123938914,0.36612519835467705,0.1914643207718787,0.8947214402413842,0.0165,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09146 Fov_only Cell_002, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250716 Session_250716_002_180309)",-1.6054339356350336,0.5629266291253616,22.079189189204534,2.638677625794159,4.5675675675675675,1.1977578273600182,14.419729729750058,6.005138109212725,161.32581081082304,84.33202189506716,9.513513513513514,4.051170145416592,76.05486486488184,51.387863832871645,26.83783783783784,13.894415587358973,0.471244264437568,0.14681789174163157,0.7329204535347247,0.009500000000000001,PV_JUX
