time,details
12468202.637264,task start
12492914.469846,BuzzerOn
12493014.676834,BuzzerOff
12494525.046347,VerticalPuffOn
12495025.659283,VerticalPuffOff
12496527.436602,WaterOn
12496577.630445,WaterOff
12514279.491917,BuzzerOn
12514379.683115,BuzzerOff
12515764.185594,VerticalPuffOn
12516264.807167,VerticalPuffOff
12517765.154125,WaterOn
12517815.311823,WaterOff
12533094.364042,BuzzerOn
12533194.58212,BuzzerOff
12534902.073199,VerticalPuffOn
12535402.748097,VerticalPuffOff
12536904.577687,WaterOn
12536954.737371,WaterOff
12553208.099655,BuzzerOn
12553308.253317,BuzzerOff
12554985.100877,VerticalPuffOn
12555485.842785,VerticalPuffOff
12556987.751609,NoWaterOn
12557038.177924,NoWaterOff
12574180.058046,BuzzerOn
12574280.30779,BuzzerOff
12575828.140359,VerticalPuffOn
12576328.789298,VerticalPuffOff
12577830.6576,WaterOn
12577880.903256,WaterOff
12590565.756688,BuzzerOn
12590665.982987,BuzzerOff
12592134.320738,BlankOn
12592634.985389,BlankOff
12594136.370386,NoWaterOn
12594186.571865,NoWaterOff
12606646.201707,BuzzerOn
12606746.457115,BuzzerOff
12608477.94035,VerticalPuffOn
12608978.543198,VerticalPuffOff
12610480.223834,WaterOn
12610530.71067,WaterOff
12627703.897143,BuzzerOn
12627804.087897,BuzzerOff
12629522.564715,VerticalPuffOn
12630022.670093,VerticalPuffOff
12631524.443854,NoWaterOn
12631574.588645,NoWaterOff
12647389.634607,BuzzerOn
12647489.917522,BuzzerOff
12649004.221177,VerticalPuffOn
12649504.836917,VerticalPuffOff
12651005.261568,WaterOn
12651055.449347,WaterOff
12664863.390422,BuzzerOn
12664963.718594,BuzzerOff
12666398.686843,BlankOn
12666899.349971,BlankOff
12668400.243828,NoWaterOn
12668450.404301,NoWaterOff
12682748.741497,BuzzerOn
12682848.957263,BuzzerOff
12684344.041202,VerticalPuffOn
12684844.711419,VerticalPuffOff
12686345.319735,WaterOn
12686395.449848,WaterOff
12701176.102412,BuzzerOn
12701276.519119,BuzzerOff
12702968.183265,VerticalPuffOn
12703468.817292,VerticalPuffOff
12704971.328188,NoWaterOn
12705021.49379,NoWaterOff
12717857.809509,BuzzerOn
12717958.04098,BuzzerOff
12719234.414087,BlankOn
12719735.080201,BlankOff
12721237.185915,NoWaterOn
12721287.397972,NoWaterOff
12738926.857022,BuzzerOn
12739027.115472,BuzzerOff
12740584.157392,BlankOn
12741084.773757,BlankOff
12742586.67315,NoWaterOn
12742636.859734,NoWaterOff
12757942.116112,BuzzerOn
12758042.405822,BuzzerOff
12759692.152544,BlankOn
12760192.752729,BlankOff
12761694.641675,NoWaterOn
12761748.208666,NoWaterOff
12776628.308993,BuzzerOn
12776728.573317,BuzzerOff
12777991.088559,BlankOn
12778492.097359,BlankOff
12779992.381456,NoWaterOn
12780042.511561,NoWaterOff
12795847.040757,BuzzerOn
12795947.22775,BuzzerOff
12797587.053366,VerticalPuffOn
12798087.64509,VerticalPuffOff
12799590.154793,WaterOn
12799640.286297,WaterOff
12814878.608792,BuzzerOn
12814978.854362,BuzzerOff
12816574.981891,BlankOn
12817075.630277,BlankOff
12818576.123238,NoWaterOn
12818626.304845,NoWaterOff
12835388.050955,BuzzerOn
12835488.234861,BuzzerOff
12837132.658314,VerticalPuffOn
12837633.260064,VerticalPuffOff
12839135.468794,WaterOn
12839185.615523,WaterOff
12856576.079899,BuzzerOn
12856676.281993,BuzzerOff
12858353.398456,VerticalPuffOn
12858853.993719,VerticalPuffOff
12860355.872194,NoWaterOn
12860406.088395,NoWaterOff
12876438.983426,BuzzerOn
12876539.209209,BuzzerOff
12878083.418952,VerticalPuffOn
12878584.138288,VerticalPuffOff
12880086.177787,NoWaterOn
12880136.42974,NoWaterOff
12893909.809155,BuzzerOn
12894009.962574,BuzzerOff
12895265.085313,VerticalPuffOn
12895765.279485,VerticalPuffOff
12897267.192564,WaterOn
12897317.374345,WaterOff
12910058.664365,BuzzerOn
12910158.87118,BuzzerOff
12911410.254819,VerticalPuffOn
12911910.407086,VerticalPuffOff
12913412.130188,NoWaterOn
12913462.289519,NoWaterOff
12931271.941706,BuzzerOn
12931372.132636,BuzzerOff
12932841.618634,BlankOn
12933342.287451,BlankOff
12934844.089362,NoWaterOn
12934894.259223,NoWaterOff
12951758.636932,BuzzerOn
12951858.865608,BuzzerOff
12953507.22747,VerticalPuffOn
12954007.851353,VerticalPuffOff
12955510.241133,WaterOn
12955560.375173,WaterOff
12972296.044958,BuzzerOn
12972396.272492,BuzzerOff
12973959.023037,VerticalPuffOn
12974459.18168,VerticalPuffOff
12975960.138946,NoWaterOn
12976010.283146,NoWaterOff
12993612.103905,BuzzerOn
12993712.372778,BuzzerOff
12995116.016958,VerticalPuffOn
12995616.605885,VerticalPuffOff
12997118.377139,WaterOn
12997168.539851,WaterOff
13014972.362694,BuzzerOn
13015072.558723,BuzzerOff
13016283.762498,VerticalPuffOn
13016784.050926,VerticalPuffOff
13018284.34436,WaterOn
13018334.45242,WaterOff
13034351.689876,BuzzerOn
13034451.869802,BuzzerOff
13035680.172458,BlankOn
13036180.775755,BlankOff
13037682.517844,NoWaterOn
13037732.665583,NoWaterOff
13052510.69808,BuzzerOn
13052610.93957,BuzzerOff
13054060.182372,VerticalPuffOn
