time,details
8131388.631609,task start
8154316.086192,BuzzerOn
8154416.331367,BuzzerOff
8156116.125096,VerticalPuffOn
8156616.294326,VerticalPuffOff
8158118.159788,WaterOn
8158158.337723,WaterOff
8172856.103979,BuzzerOn
8172956.507652,BuzzerOff
8174436.242339,BlankOn
8174936.417072,BlankOff
8176438.168526,NoWaterOn
8176478.313092,NoWaterOff
8192004.100667,BuzzerOn
8192104.317233,BuzzerOff
8193430.264226,VerticalPuffOn
8193930.856972,VerticalPuffOff
8195432.153092,WaterOn
8195472.343564,WaterOff
8208721.2557,BuzzerOn
8208821.45615,BuzzerOff
8210201.169269,VerticalPuffOn
8210701.807292,VerticalPuffOff
8212204.129584,WaterOn
8212244.2973,WaterOff
8229279.09739,BuzzerOn
8229379.287407,BuzzerOff
8230851.452341,BlankOn
8231352.096976,BlankOff
8232853.954443,NoWaterOn
8232894.252383,NoWaterOff
8248412.036045,BuzzerOn
8248512.239072,BuzzerOff
8250028.123357,VerticalPuffOn
8250528.720523,VerticalPuffOff
8252031.230588,WaterOn
8252071.419646,WaterOff
8269956.055374,BuzzerOn
8270056.280449,BuzzerOff
8271541.343879,VerticalPuffOn
8272041.99843,VerticalPuffOff
8273543.964186,WaterOn
8273584.185932,WaterOff
8291052.054266,BuzzerOn
8291152.276888,BuzzerOff
8292663.494048,VerticalPuffOn
8293164.103337,VerticalPuffOff
8294664.547682,WaterOn
8294704.66099,WaterOff
8311970.703237,BuzzerOn
8312070.894239,BuzzerOff
8313332.56364,VerticalPuffOn
8313832.745891,VerticalPuffOff
8315333.086732,WaterOn
8315373.244191,WaterOff
8328284.119872,BuzzerOn
8328384.460971,BuzzerOff
8329693.60877,BlankOn
8330194.227179,BlankOff
8331696.608233,NoWaterOn
8331736.763047,NoWaterOff
8348387.096825,BuzzerOn
8348487.299898,BuzzerOff
8350263.228221,VerticalPuffOn
8350763.965578,VerticalPuffOff
8352266.54963,WaterOn
8352306.742298,WaterOff
8364676.048184,BuzzerOn
8364776.331354,BuzzerOff
8366244.131488,VerticalPuffOn
8366744.732881,VerticalPuffOff
8368245.00143,WaterOn
8368285.147602,WaterOff
8382224.043937,BuzzerOn
8382324.143489,BuzzerOff
8383621.442694,VerticalPuffOn
8384121.616779,VerticalPuffOff
8385621.915764,WaterOn
8385662.03942,WaterOff
8399396.077309,BuzzerOn
8399496.314068,BuzzerOff
8400871.983863,VerticalPuffOn
8401372.254424,VerticalPuffOff
8402874.167993,WaterOn
8402914.36591,WaterOff
8415812.054697,BuzzerOn
8415912.280482,BuzzerOff
8417402.319098,VerticalPuffOn
8417903.038716,VerticalPuffOff
8419404.121358,WaterOn
8419444.259649,WaterOff
8436868.045877,BuzzerOn
