time,details
12476423.5809,VerticalPuffOff
12477924.164681,WaterOn
12477984.354784,WaterOff
12495746.448349,BuzzerOn
12495846.628452,BuzzerOff
12497303.982547,VerticalPuffOn
12497804.624248,VerticalPuffOff
12499307.326245,NoWaterOn
12499367.565566,NoWaterOff
12516603.508941,BuzzerOn
12516703.698504,BuzzerOff
12518008.458628,VerticalPuffOn
12518509.152741,VerticalPuffOff
12520011.174321,WaterOn
12520071.309847,WaterOff
12536920.088304,BuzzerOn
12537020.260383,BuzzerOff
12538481.493035,VerticalPuffOn
12538982.090453,VerticalPuffOff
12540483.874017,WaterOn
12540544.080133,WaterOff
12555168.557985,BuzzerOn
12555268.83156,BuzzerOff
12557005.85871,VerticalPuffOn
12557506.479042,VerticalPuffOff
12559008.401571,WaterOn
12559068.631889,WaterOff
12574513.696951,BuzzerOn
12574613.935376,BuzzerOff
12575975.847079,VerticalPuffOn
12576476.440493,VerticalPuffOff
12577978.241139,WaterOn
12578038.448789,WaterOff
12592280.143268,BuzzerOn
12592380.507633,BuzzerOff
12593686.550618,VerticalPuffOn
12594187.150393,VerticalPuffOff
12595688.95951,WaterOn
12595749.210639,WaterOff
12608608.068516,BuzzerOn
12608708.737041,BuzzerOff
12609997.476132,BlankOn
12610498.134174,BlankOff
12612000.182724,NoWaterOn
12612060.421167,NoWaterOff
12629957.796724,BuzzerOn
12630058.019588,BuzzerOff
12631564.388399,VerticalPuffOn
12632065.0923,VerticalPuffOff
12633567.296109,NoWaterOn
12633627.469608,NoWaterOff
12650686.963203,BuzzerOn
12650787.329637,BuzzerOff
12652268.79487,VerticalPuffOn
12652769.384059,VerticalPuffOff
12654271.120161,WaterOn
12654331.272696,WaterOff
12666838.732191,BuzzerOn
12666939.04842,BuzzerOff
12668561.766929,VerticalPuffOn
12669062.357313,VerticalPuffOff
12670564.114336,WaterOn
12670624.265426,WaterOff
12682827.20813,BuzzerOn
12682927.409915,BuzzerOff
12684529.875732,VerticalPuffOn
12685030.484368,VerticalPuffOff
12686532.304627,NoWaterOn
12686592.597565,NoWaterOff
12702142.664898,BuzzerOn
12702242.845923,BuzzerOff
12703468.254497,VerticalPuffOn
12703968.861514,VerticalPuffOff
12705470.948428,WaterOn
12705531.092831,WaterOff
12719164.178437,BuzzerOn
12719264.496143,BuzzerOff
12720963.827344,VerticalPuffOn
12721464.460241,VerticalPuffOff
12722966.242157,WaterOn
12723026.44502,WaterOff
12739184.314297,BuzzerOn
12739284.508429,BuzzerOff
12740664.478918,BlankOn
12741165.087993,BlankOff
12742666.938012,NoWaterOn
12742727.262965,NoWaterOff
12760600.053046,BuzzerOn
12760700.269343,BuzzerOff
12762195.126819,VerticalPuffOn
12762695.729292,VerticalPuffOff
12764197.470418,WaterOn
12764257.628688,WaterOff
12779245.341923,BuzzerOn
12779345.634772,BuzzerOff
12781012.851701,VerticalPuffOn
12781513.054305,VerticalPuffOff
12783014.919147,WaterOn
12783075.131118,WaterOff
12795292.096296,BuzzerOn
12795392.387867,BuzzerOff
12796654.89667,VerticalPuffOn
12797155.001954,VerticalPuffOff
12798656.897204,NoWaterOn
12798717.053454,NoWaterOff
12812703.034368,BuzzerOn
12812803.234532,BuzzerOff
12814234.682667,BlankOn
12814735.342232,BlankOff
12816236.155001,NoWaterOn
12816296.479784,NoWaterOff
12831991.081892,BuzzerOn
12832091.398941,BuzzerOff
12833545.626362,BlankOn
12834046.216069,BlankOff
12835546.479199,NoWaterOn
12835606.635595,NoWaterOff
12850196.047892,BuzzerOn
12850296.267608,BuzzerOff
12851540.233722,VerticalPuffOn
12852040.863367,VerticalPuffOff
12853543.014684,NoWaterOn
12853603.232987,NoWaterOff
12868240.104406,BuzzerOn
12868340.329047,BuzzerOff
12869926.922613,VerticalPuffOn
