time,details
9701461.850561,task start
9725300.04898,BuzzerOn
9725400.312046,BuzzerOff
9726646.108319,VerticalPuffOn
9727146.835235,VerticalPuffOff
9728648.825301,NoWaterOn
9728709.057913,NoWaterOff
9742616.036152,BuzzerOn
9742716.155591,BuzzerOff
9743986.708738,VerticalPuffOn
9744487.351583,VerticalPuffOff
9745989.504838,WaterOn
9746049.693599,WaterOff
9759748.17224,BuzzerOn
9759848.390975,BuzzerOff
9761137.538463,BlankOn
9761638.125367,BlankOff
9763140.227091,NoWaterOn
9763200.911288,NoWaterOff
9780836.06172,BuzzerOn
9780936.27764,BuzzerOff
9782204.113275,VerticalPuffOn
9782704.690588,VerticalPuffOff
9784206.507342,WaterOn
9784266.688938,WaterOff
9799320.366749,BuzzerOn
9799420.603576,BuzzerOff
9800765.393793,BlankOn
9801265.985701,BlankOff
9802768.2526,NoWaterOn
9802828.416271,NoWaterOff
9818112.0545,BuzzerOn
9818212.227422,BuzzerOff
9819602.85636,VerticalPuffOn
9820103.580915,VerticalPuffOff
9821605.347182,WaterOn
9821665.487964,WaterOff
9837112.097088,BuzzerOn
9837212.229344,BuzzerOff
9838603.548756,VerticalPuffOn
9839104.158704,VerticalPuffOff
9840605.980975,WaterOn
9840666.166071,WaterOff
9857832.517485,BuzzerOn
9857932.715796,BuzzerOff
9859411.962105,VerticalPuffOn
9859912.627332,VerticalPuffOff
9861413.191243,NoWaterOn
9861473.46143,NoWaterOff
9876492.28913,BuzzerOn
9876592.479812,BuzzerOff
9877957.879089,BlankOn
9878458.471763,BlankOff
9879960.345969,NoWaterOn
9880020.492566,NoWaterOff
9893924.276055,BuzzerOn
9894024.621327,BuzzerOff
9895352.572845,BlankOn
9895853.19515,BlankOff
9897355.417094,NoWaterOn
9897415.64569,NoWaterOff
9909628.034864,BuzzerOn
9909728.265601,BuzzerOff
9911126.838209,VerticalPuffOn
9911627.422701,VerticalPuffOff
9913129.276453,WaterOn
9913189.461494,WaterOff
9927004.281574,BuzzerOn
9927104.596439,BuzzerOff
9928351.673069,VerticalPuffOn
9928852.049529,VerticalPuffOff
9930354.449571,NoWaterOn
9930414.651501,NoWaterOff
9945300.045235,BuzzerOn
9945400.265787,BuzzerOff
9947048.128558,BlankOn
9947548.727312,BlankOff
9949050.473445,NoWaterOn
9949110.633876,NoWaterOff
9963972.025192,BuzzerOn
9964072.197209,BuzzerOff
9965627.539473,BlankOn
9966128.079433,BlankOff
9967630.297265,NoWaterOn
9967690.467288,NoWaterOff
9980652.06061,BuzzerOn
9980752.266145,BuzzerOff
9982292.198145,VerticalPuffOn
9982792.823549,VerticalPuffOff
9984293.208752,WaterOn
9984353.360739,WaterOff
9996580.14071,BuzzerOn
9996680.374504,BuzzerOff
9998461.92903,BlankOn
9998962.563287,BlankOff
10000464.180433,NoWaterOn
10000524.360975,NoWaterOff
10013180.052182,BuzzerOn
10013280.168293,BuzzerOff
10014724.144574,VerticalPuffOn
10015224.775943,VerticalPuffOff
10016726.772104,WaterOn
10016787.072681,WaterOff
10029972.040231,BuzzerOn
10030072.162583,BuzzerOff
10031611.280461,VerticalPuffOn
10032111.879035,VerticalPuffOff
10033614.05451,WaterOn
10033674.383161,WaterOff
10049072.087112,BuzzerOn
10049172.326869,BuzzerOff
10050850.259547,VerticalPuffOn
10051350.893992,VerticalPuffOff
10052852.582147,WaterOn
10052912.72106,WaterOff
10070724.038878,BuzzerOn
10070824.278617,BuzzerOff
10072468.520946,VerticalPuffOn
10072969.241002,VerticalPuffOff
10074469.603408,NoWaterOn
10074529.729859,NoWaterOff
10088029.803248,BuzzerOn
10088129.979784,BuzzerOff
10089340.934856,VerticalPuffOn
10089841.519953,VerticalPuffOff
10091343.255965,WaterOn
10091403.427212,WaterOff
10105344.147047,BuzzerOn
10105444.757594,BuzzerOff
10107004.244494,VerticalPuffOn
10107504.918812,VerticalPuffOff
10109006.824009,WaterOn
10109067.013163,WaterOff
10122876.089131,BuzzerOn
10122976.294279,BuzzerOff
10124313.652532,VerticalPuffOn
10124814.240464,VerticalPuffOff
10126315.955242,WaterOn
10126376.097878,WaterOff
10138422.381484,BuzzerOn
10138522.593724,BuzzerOff
10140260.948161,VerticalPuffOn
10140761.588611,VerticalPuffOff
10142263.779105,NoWaterOn
10142324.075127,NoWaterOff
10158612.14322,BuzzerOn
10158712.385941,BuzzerOff
10160467.66138,VerticalPuffOn
10160968.05054,VerticalPuffOff
10162469.777823,WaterOn
10162529.960515,WaterOff
10178016.257123,BuzzerOn
10178116.444698,BuzzerOff
10179431.553504,BlankOn
10179932.143957,BlankOff
10181432.461899,NoWaterOn
10181492.582665,NoWaterOff
10194240.055046,BuzzerOn
10194340.384378,BuzzerOff
10196104.197367,VerticalPuffOn
10196604.811006,VerticalPuffOff
10198105.218022,WaterOn
10198165.411473,WaterOff
10214395.651417,BuzzerOn
10214495.842121,BuzzerOff
10215769.507131,VerticalPuffOn
10216269.625557,VerticalPuffOff
10217769.969559,WaterOn
10217830.133529,WaterOff
10230216.31099,BuzzerOn
10230316.510046,BuzzerOff
10232009.031612,VerticalPuffOn
10232509.627734,VerticalPuffOff
10234011.537098,NoWaterOn
10234071.744641,NoWaterOff
10250908.09744,BuzzerOn
10251008.307785,BuzzerOff
10252694.405064,BlankOn
10253195.007655,BlankOff
10254696.246836,NoWaterOn
10254756.43578,NoWaterOff
10270956.111288,BuzzerOn
10271056.488767,BuzzerOff
10272727.884653,VerticalPuffOn
10273228.110236,VerticalPuffOff
