time,details
10952200.37591,task start
10978898.565542,BuzzerOn
10978998.84111,BuzzerOff
10980359.410205,VerticalPuffOn
10980759.967081,VerticalPuffOff
10982262.042165,WaterOn
10982302.266986,WaterOff
10995794.230082,BuzzerOn
10995894.414453,BuzzerOff
10997526.510616,VerticalPuffOn
10997926.656669,VerticalPuffOff
10999428.554113,WaterOn
10999468.771382,WaterOff
11013605.938035,BuzzerOn
11013706.328445,BuzzerOff
11014982.354223,BlankOn
11015382.915159,BlankOff
11016884.567186,NoWaterOn
11016924.796697,NoWaterOff
11029200.067282,BuzzerOn
11029300.238441,BuzzerOff
11030887.378029,BlankOn
11031288.470436,BlankOff
11032790.541319,NoWaterOn
11032830.769684,NoWaterOff
11046970.58055,BuzzerOn
11047070.76488,BuzzerOff
11048488.101458,VerticalPuffOn
11048888.626137,VerticalPuffOff
11050390.440099,WaterOn
11050430.668225,WaterOff
11062728.057804,BuzzerOn
11062828.254619,BuzzerOff
11064554.750521,VerticalPuffOn
11064955.280106,VerticalPuffOff
11066457.14515,WaterOn
11066497.347111,WaterOff
11084210.113152,BuzzerOn
11084310.321529,BuzzerOff
11085521.294367,VerticalPuffOn
11085921.849936,VerticalPuffOff
11087424.10998,WaterOn
11087464.371146,WaterOff
11101780.073379,BuzzerOn
11101880.348648,BuzzerOff
11103116.314298,VerticalPuffOn
11103516.882087,VerticalPuffOff
11105018.813315,WaterOn
11105059.002596,WaterOff
11118596.942036,BuzzerOn
11118697.136125,BuzzerOff
11120388.119842,VerticalPuffOn
11120788.63752,VerticalPuffOff
11122290.48109,WaterOn
11122330.699779,WaterOff
11135072.085084,BuzzerOn
11135172.324472,BuzzerOff
11136466.731264,BlankOn
11136867.320159,BlankOff
11138369.289135,NoWaterOn
11138409.467252,NoWaterOff
11155782.641907,BuzzerOn
11155882.920281,BuzzerOff
11157468.212335,VerticalPuffOn
11157868.801619,VerticalPuffOff
11159370.605966,WaterOn
11159410.762733,WaterOff
11176864.056533,BuzzerOn
11176964.168378,BuzzerOff
11178475.261831,VerticalPuffOn
11178876.187738,VerticalPuffOff
11180376.675678,WaterOn
11180416.826281,WaterOff
11194628.047495,BuzzerOn
11194728.234379,BuzzerOff
11196153.239476,VerticalPuffOn
11196553.787979,VerticalPuffOff
11198056.073958,WaterOn
11198096.418633,WaterOff
11214665.117358,BuzzerOn
11214765.338504,BuzzerOff
11216059.202082,VerticalPuffOn
11216459.519198,VerticalPuffOff
11217962.342987,WaterOn
11218002.527536,WaterOff
11234936.050624,BuzzerOn
11235036.238571,BuzzerOff
11236252.559285,VerticalPuffOn
11236653.066747,VerticalPuffOff
11238154.881205,WaterOn
11238195.177995,WaterOff
11250840.777004,BuzzerOn
11250941.041731,BuzzerOff
11252482.333888,VerticalPuffOn
11252882.85238,VerticalPuffOff
11254384.230374,WaterOn
11254424.412371,WaterOff
11268656.055074,BuzzerOn
11268756.253935,BuzzerOff
11269964.334768,VerticalPuffOn
11270364.526909,VerticalPuffOff
11271866.482143,WaterOn
11271906.669326,WaterOff
11287256.064383,BuzzerOn
11287356.323005,BuzzerOff
11288630.810529,BlankOn
11289031.321381,BlankOff
11290533.324718,NoWaterOn
11290573.468829,NoWaterOff
11306664.036918,BuzzerOn
11306764.238915,BuzzerOff
11308335.257808,VerticalPuffOn
11308735.830579,VerticalPuffOff
11310238.362623,WaterOn
11310278.578141,WaterOff
11327854.106558,BuzzerOn
11327954.297336,BuzzerOff
11329417.522056,VerticalPuffOn
11329818.029064,VerticalPuffOff
11331319.802765,WaterOn
11331359.95236,WaterOff
11345580.116595,BuzzerOn
11345680.379708,BuzzerOff
11347106.905362,VerticalPuffOn
11347507.422233,VerticalPuffOff
11349009.896722,WaterOn
11349050.230222,WaterOff
11363052.513639,BuzzerOn
11363152.74183,BuzzerOff
11364390.054892,VerticalPuffOn
11364790.552014,VerticalPuffOff
11366292.368535,WaterOn
11366332.507373,WaterOff
11380608.060278,BuzzerOn
11380708.378395,BuzzerOff
11382213.266615,VerticalPuffOn
11382613.766377,VerticalPuffOff
11384115.588493,WaterOn
11384155.791831,WaterOff
11402052.04491,BuzzerOn
11402152.240347,BuzzerOff
11403530.671445,BlankOn
11403931.259421,BlankOff
11405433.326298,NoWaterOn
11405473.47625,NoWaterOff
11420163.607694,BuzzerOn
