time,details
6177278.324059,task start
6204391.346784,BuzzerOn
6204491.857708,BuzzerOff
6206187.867119,VerticalPuffOn
6206688.150366,VerticalPuffOff
6208190.148984,WaterOn
6208230.418259,WaterOff
6222604.089909,BuzzerOn
6222704.211528,BuzzerOff
6224457.645583,BlankOn
6224958.242886,BlankOff
6226460.297374,NoWaterOn
6226500.426913,NoWaterOff
6244132.05112,BuzzerOn
6244232.403807,BuzzerOff
6245919.905141,BlankOn
6246420.144104,BlankOff
6247921.926313,NoWaterOn
6247962.180488,NoWaterOff
6262627.542575,BuzzerOn
6262727.871375,BuzzerOff
6264207.220316,VerticalPuffOn
6264707.829888,VerticalPuffOff
6266209.630807,WaterOn
6266249.775878,WaterOff
6284030.924325,BuzzerOn
6284131.160831,BuzzerOff
6285678.728972,VerticalPuffOn
6286179.425609,VerticalPuffOff
6287681.454123,WaterOn
6287721.653536,WaterOff
6301600.093503,BuzzerOn
6301700.432656,BuzzerOff
6303169.257409,VerticalPuffOn
6303669.470747,VerticalPuffOff
6305171.382904,WaterOn
6305211.567878,WaterOff
6322709.487571,BuzzerOn
6322809.705432,BuzzerOff
6324103.031158,VerticalPuffOn
6324603.645369,VerticalPuffOff
6326105.396175,WaterOn
6326145.532766,WaterOff
6339704.047598,BuzzerOn
6339804.206777,BuzzerOff
6341418.991251,VerticalPuffOn
6341919.590301,VerticalPuffOff
6343421.386081,WaterOn
6343461.522043,WaterOff
6361250.219675,BuzzerOn
6361350.455048,BuzzerOff
6363075.740455,VerticalPuffOn
6363576.109774,VerticalPuffOff
6365077.858046,WaterOn
6365118.048945,WaterOff
6382349.765027,BuzzerOn
6382450.010536,BuzzerOff
6384111.925551,BlankOn
6384612.529419,BlankOff
6386114.322352,NoWaterOn
6386154.493928,NoWaterOff
6399327.980749,BuzzerOn
6399428.29636,BuzzerOff
6401172.605182,VerticalPuffOn
6401673.508904,VerticalPuffOff
6403175.638608,WaterOn
6403215.963461,WaterOff
6418873.755821,BuzzerOn
6418974.117782,BuzzerOff
6420512.19997,VerticalPuffOn
6421012.814781,VerticalPuffOff
6422514.684485,WaterOn
6422554.863663,WaterOff
6438280.148683,BuzzerOn
6438380.337807,BuzzerOff
6439818.706216,BlankOn
6440319.437939,BlankOff
6441821.469828,NoWaterOn
6441861.676479,NoWaterOff
6455320.048588,BuzzerOn
6455420.26082,BuzzerOff
6456814.332316,VerticalPuffOn
6457314.934815,VerticalPuffOff
6458816.758644,WaterOn
6458856.910394,WaterOff
6475058.309948,BuzzerOn
6475158.550456,BuzzerOff
6476810.916168,VerticalPuffOn
6477311.573659,VerticalPuffOff
6478812.188749,WaterOn
6478852.377174,WaterOff
6495754.230425,BuzzerOn
6495854.489952,BuzzerOff
6497634.123893,BlankOn
6498134.727334,BlankOff
6499636.509044,NoWaterOn
6499676.665816,NoWaterOff
6513252.053663,BuzzerOn
6513352.264898,BuzzerOff
6514890.321,VerticalPuffOn
6515390.931852,VerticalPuffOff
6516892.69585,WaterOn
6516932.857544,WaterOff
6531216.063207,BuzzerOn
6531316.335406,BuzzerOff
6532931.950317,VerticalPuffOn
6533432.763731,VerticalPuffOff
6534933.19509,WaterOn
6534973.352504,WaterOff
6551686.593243,BuzzerOn
6551786.97253,BuzzerOff
6553505.763109,BlankOn
6554006.434762,BlankOff
6555508.216017,NoWaterOn
6555548.416081,NoWaterOff
6568496.118519,BuzzerOn
6568596.359839,BuzzerOff
6570243.852473,BlankOn
6570744.551528,BlankOff
6572246.62566,NoWaterOn
6572286.834453,NoWaterOff
6586396.042159,BuzzerOn
6586496.231525,BuzzerOff
6587776.30609,VerticalPuffOn
6588276.922618,VerticalPuffOff
6589778.698907,WaterOn
6589818.879249,WaterOff
6605332.222566,BuzzerOn
6605432.419495,BuzzerOff
6607211.690778,BlankOn
6607712.074724,BlankOff
6609212.377106,NoWaterOn
6609252.543535,NoWaterOff
6624008.044524,BuzzerOn
6624108.249293,BuzzerOff
6625792.061697,VerticalPuffOn
6626292.716606,VerticalPuffOff
6627794.489518,WaterOn
6627834.624496,WaterOff
6645308.083471,BuzzerOn
6645408.380972,BuzzerOff
6646688.236577,VerticalPuffOn
6647188.836446,VerticalPuffOff
6648690.637103,WaterOn
6648730.825424,WaterOff
6661041.467244,BuzzerOn
6661141.725265,BuzzerOff
6662774.782582,VerticalPuffOn
6663275.450332,VerticalPuffOff
6664777.945633,WaterOn
6664818.080067,WaterOff
6682076.292756,BuzzerOn
6682176.535135,BuzzerOff
6683400.422069,VerticalPuffOn
6683900.653013,VerticalPuffOff
6685402.499863,WaterOn
6685442.680099,WaterOff
6700292.053198,BuzzerOn
6700392.270046,BuzzerOff
6701665.788025,VerticalPuffOn
6702166.648974,VerticalPuffOff
6703668.652038,WaterOn
6703708.925068,WaterOff
6717720.046968,BuzzerOn
6717820.272982,BuzzerOff
6719608.567677,VerticalPuffOn
6720109.187823,VerticalPuffOff
6721611.972653,WaterOn
6721652.333698,WaterOff
6736884.062687,BuzzerOn
6736984.370107,BuzzerOff
6738309.964683,VerticalPuffOn
6738810.631014,VerticalPuffOff
6740312.544369,WaterOn
6740352.823861,WaterOff
6754306.426409,BuzzerOn
6754406.940234,BuzzerOff
6755750.005721,VerticalPuffOn
6756250.604042,VerticalPuffOff
6757752.155613,WaterOn
6757792.298832,WaterOff
6774100.055489,BuzzerOn
6774200.26855,BuzzerOff
6775556.221323,VerticalPuffOn
6776056.9606,VerticalPuffOff
6777557.353774,WaterOn
6777597.52488,WaterOff
6792668.036912,BuzzerOn
6792768.226374,BuzzerOff
6794208.127557,VerticalPuffOn
6794708.300938,VerticalPuffOff
6796210.095384,WaterOn
6796250.418811,WaterOff
6811209.300707,BuzzerOn
6811309.840583,BuzzerOff
6812800.901529,VerticalPuffOn
6813301.505194,VerticalPuffOff
6814803.787815,WaterOn
6814844.061758,WaterOff
6831854.901425,BuzzerOn
6831955.085737,BuzzerOff
6833320.617347,BlankOn
6833821.274716,BlankOff
6835321.677887,NoWaterOn
6835361.882959,NoWaterOff
6851940.101919,BuzzerOn
6852040.204981,BuzzerOff
6853824.125453,BlankOn
6854324.725188,BlankOff
6855826.70229,NoWaterOn
6855866.935061,NoWaterOff
6869640.100664,BuzzerOn
6869740.366103,BuzzerOff
6871408.659511,VerticalPuffOn
6871909.521541,VerticalPuffOff
6873411.52714,WaterOn
6873451.707644,WaterOff
6887048.03822,BuzzerOn
6887148.22617,BuzzerOff
6888727.821824,VerticalPuffOn
6889228.071232,VerticalPuffOff
6890729.925947,WaterOn
6890770.136975,WaterOff
6908512.087352,BuzzerOn
6908612.335489,BuzzerOff
6909852.144213,VerticalPuffOn
6910352.760016,VerticalPuffOff
6911854.687171,WaterOn
6911894.919654,WaterOff
6928672.108523,BuzzerOn
6928772.443485,BuzzerOff
6930151.149843,VerticalPuffOn
6930651.759884,VerticalPuffOff
6932153.979858,WaterOn
6932194.140557,WaterOff
6944564.09945,BuzzerOn
6944664.363245,BuzzerOff
6946104.410507,VerticalPuffOn
6946605.066493,VerticalPuffOff
6948106.945955,WaterOn
6948147.094638,WaterOff
6964148.041905,BuzzerOn
6964248.742095,BuzzerOff
6965946.952048,VerticalPuffOn
6966447.602459,VerticalPuffOff
6967948.129329,WaterOn
6967988.229688,WaterOff
6981123.843329,BuzzerOn
6981224.052684,BuzzerOff
6982756.536834,VerticalPuffOn
6983257.141118,VerticalPuffOff
6984759.04426,WaterOn
6984800.102787,WaterOff
7001380.641294,BuzzerOn
7001480.842821,BuzzerOff
7003269.687339,VerticalPuffOn
7003770.42722,VerticalPuffOff
7005272.26316,WaterOn
7005312.455726,WaterOff
7020841.834716,BuzzerOn
7020942.063521,BuzzerOff
7022522.780626,VerticalPuffOn
7023023.438916,VerticalPuffOff
7024525.445243,WaterOn
7024565.821251,WaterOff
7041284.088223,BuzzerOn
7041384.336545,BuzzerOff
7042622.900978,VerticalPuffOn
7043123.499489,VerticalPuffOff
7044624.287002,WaterOn
7044664.456021,WaterOff
7058199.660536,BuzzerOn
7058299.863237,BuzzerOff
7059739.281509,VerticalPuffOn
7060239.93802,VerticalPuffOff
7061741.821393,WaterOn
7061781.989949,WaterOff
7074025.569763,BuzzerOn
7074125.759433,BuzzerOff
7075476.326956,VerticalPuffOn
7075976.979542,VerticalPuffOff
7077478.711854,WaterOn
7077518.843353,WaterOff
7093810.569985,BuzzerOn
7093910.729076,BuzzerOff
7095117.920189,BlankOn
7095618.829634,BlankOff
7097120.949662,NoWaterOn
7097161.13303,NoWaterOff
7112076.145383,BuzzerOn
7112176.507824,BuzzerOff
7113790.479202,VerticalPuffOn
7114291.082899,VerticalPuffOff
7115792.966212,WaterOn
7115833.175301,WaterOff
7130093.101454,BuzzerOn
7130193.298498,BuzzerOff
7131799.202106,BlankOn
7132299.365858,BlankOff
7133801.17335,NoWaterOn
7133841.34279,NoWaterOff
7149840.137426,BuzzerOn
7149940.34694,BuzzerOff
7151704.33096,VerticalPuffOn
7152204.9319,VerticalPuffOff
7153707.236958,WaterOn
7153747.441285,WaterOff
7170572.136342,BuzzerOn
7170672.36664,BuzzerOff
7172263.358319,VerticalPuffOn
7172763.993144,VerticalPuffOff
7174264.340331,WaterOn
7174304.448715,WaterOff
7192020.046855,BuzzerOn
7192120.210921,BuzzerOff
7193387.494151,VerticalPuffOn
7193888.069084,VerticalPuffOff
7195389.872514,WaterOn
7195430.057154,WaterOff
7208184.04586,BuzzerOn
7208284.293678,BuzzerOff
7209556.717103,VerticalPuffOn
7210057.572093,VerticalPuffOff
7211559.614436,WaterOn
7211599.89379,WaterOff
7225848.429658,BuzzerOn
7225948.866226,BuzzerOff
7227568.20109,VerticalPuffOn
7228068.836221,VerticalPuffOff
7229570.607273,WaterOn
7229610.757441,WaterOff
7242351.678574,BuzzerOn
7242451.87655,BuzzerOff
7243870.976187,VerticalPuffOn
7244371.842476,VerticalPuffOff
7245872.286172,WaterOn
7245912.46124,WaterOff
7258152.030415,BuzzerOn
7258252.202865,BuzzerOff
7259919.938583,VerticalPuffOn
7260420.078743,VerticalPuffOff
7261921.83251,WaterOn
7261962.031033,WaterOff
7277805.935404,BuzzerOn
7277906.143591,BuzzerOff
7279202.837801,VerticalPuffOn
7279703.506427,VerticalPuffOff
7281205.311096,WaterOn
7281245.448967,WaterOff
7295524.270814,BuzzerOn
7295624.449495,BuzzerOff
7297414.842232,VerticalPuffOn
7297915.503418,VerticalPuffOff
7299417.521846,WaterOn
7299457.660119,WaterOff
7311792.070673,BuzzerOn
7311892.309211,BuzzerOff
7313345.097169,VerticalPuffOn
7313845.716003,VerticalPuffOff
7315347.476878,WaterOn
7315387.624994,WaterOff
7330585.86643,BuzzerOn
7330686.180422,BuzzerOff
7332096.180244,VerticalPuffOn
7332596.832924,VerticalPuffOff
7334098.587664,WaterOn
7334138.76892,WaterOff
7347664.240362,BuzzerOn
7347764.51401,BuzzerOff
7349012.214183,VerticalPuffOn
7349512.862397,VerticalPuffOff
7351015.103021,WaterOn
7351055.420949,WaterOff
7366959.632018,BuzzerOn
7367059.811345,BuzzerOff
7368541.876471,BlankOn
7369042.591994,BlankOff
7370544.566473,NoWaterOn
7370584.857155,NoWaterOff
7385820.072466,BuzzerOn
7385920.312873,BuzzerOff
7387601.902607,VerticalPuffOn
7388102.587467,VerticalPuffOff
7389604.374906,WaterOn
7389644.517806,WaterOff
7404440.058924,BuzzerOn
7404540.27808,BuzzerOff
7405846.786567,VerticalPuffOn
7406347.400957,VerticalPuffOff
7407849.28928,WaterOn
7407889.515632,WaterOff
7420850.495547,BuzzerOn
7420950.697686,BuzzerOff
7422592.99172,VerticalPuffOn
7423093.606925,VerticalPuffOff
7424595.440907,WaterOn
7424635.628084,WaterOff
7442051.178556,BuzzerOn
7442151.417443,BuzzerOff
7443691.455789,BlankOn
7444192.133308,BlankOff
7445694.008352,NoWaterOn
7445734.161818,NoWaterOff
7461423.78207,BuzzerOn
7461524.114016,BuzzerOff
7463248.187072,VerticalPuffOn
7463748.870802,VerticalPuffOff
7465250.72642,WaterOn
7465290.874636,WaterOff
7482908.09779,BuzzerOn
7483008.350522,BuzzerOff
7484640.169296,BlankOn
7485140.919888,BlankOff
7486643.059906,NoWaterOn
7486683.268001,NoWaterOff
7503728.056241,BuzzerOn
7503828.281071,BuzzerOff
7505259.412381,VerticalPuffOn
7505760.114441,VerticalPuffOff
7507262.315781,WaterOn
7507302.463664,WaterOff
7519364.644617,BuzzerOn
7519464.921499,BuzzerOff
7520684.347755,VerticalPuffOn
7521185.05636,VerticalPuffOff
7522686.943438,WaterOn
7522727.147031,WaterOff
7540660.078355,BuzzerOn
7540760.240096,BuzzerOff
7541993.804509,BlankOn
7542494.453336,BlankOff
7543996.153824,NoWaterOn
7544036.331315,NoWaterOff
7557764.034187,BuzzerOn
7557864.225444,BuzzerOff
7559542.408992,VerticalPuffOn
7560043.004484,VerticalPuffOff
7561545.233568,WaterOn
7561585.36866,WaterOff
7573745.269657,BuzzerOn
7573845.548242,BuzzerOff
7575115.649254,VerticalPuffOn
7575616.298892,VerticalPuffOff
7577118.183508,WaterOn
7577158.6478,WaterOff
7594286.950432,BuzzerOn
7594387.234017,BuzzerOff
7596048.629139,VerticalPuffOn
7596549.337002,VerticalPuffOff
7598051.78869,WaterOn
7598092.309377,WaterOff
7612460.052961,BuzzerOn
7612560.170123,BuzzerOff
7614064.191371,BlankOn
7614564.82228,BlankOff
7616066.720818,NoWaterOn
7616107.009184,NoWaterOff
7633108.077563,BuzzerOn
7633208.336202,BuzzerOff
7634868.31754,VerticalPuffOn
7635369.001148,VerticalPuffOff
7636870.772125,WaterOn
7636910.910355,WaterOff
7649016.138695,BuzzerOn
7649116.402681,BuzzerOff
7650426.062564,VerticalPuffOn
7650926.245771,VerticalPuffOff
7652428.055475,WaterOn
7652468.196007,WaterOff
7667320.096543,BuzzerOn
7667420.198325,BuzzerOff
7669143.249641,VerticalPuffOn
7669643.467457,VerticalPuffOff
7671144.229787,WaterOn
7671184.417157,WaterOff
7684972.13642,BuzzerOn
7685072.460154,BuzzerOff
7686720.138838,VerticalPuffOn
7687220.744231,VerticalPuffOff
7688722.970854,WaterOn
7688763.178062,WaterOff
7705520.1198,BuzzerOn
7705620.448365,BuzzerOff
7707275.736409,BlankOn
7707776.1112,BlankOff
7709278.157817,NoWaterOn
7709318.304458,NoWaterOff
7723132.102678,BuzzerOn
7723232.291555,BuzzerOff
7724808.229788,VerticalPuffOn
7725308.920077,VerticalPuffOff
7726810.781093,WaterOn
7726850.991145,WaterOff
7741292.027522,BuzzerOn
7741392.213671,BuzzerOff
7743030.880623,BlankOn
7743531.512922,BlankOff
7745033.377461,NoWaterOn
7745073.59074,NoWaterOff
7759340.05391,BuzzerOn
7759440.18024,BuzzerOff
7760733.248953,VerticalPuffOn
7761233.889737,VerticalPuffOff
7762735.699455,WaterOn
7762775.936646,WaterOff
7778028.228518,BuzzerOn
7778128.339045,BuzzerOff
7779600.489262,VerticalPuffOn
7780101.109275,VerticalPuffOff
7781602.988248,WaterOn
7781643.190611,WaterOff
7798532.14398,BuzzerOn
7798632.354629,BuzzerOff
7800296.49106,VerticalPuffOn
