time,details
6123702.504544,task start
6145940.159185,BuzzerOn
6146040.369189,BuzzerOff
6147258.005782,VerticalPuffOn
6147758.67322,VerticalPuffOff
6149260.207174,WaterOn
6149300.402274,WaterOff
6162644.049162,BuzzerOn
6162744.14135,BuzzerOff
6163985.312685,BlankOn
6164485.912155,BlankOff
6165986.157238,NoWaterOn
6166026.308557,NoWaterOff
6179092.051389,BuzzerOn
6179192.242564,BuzzerOff
6180644.1581,VerticalPuffOn
6181144.829607,VerticalPuffOff
6182646.815204,WaterOn
6182686.999514,WaterOff
6199224.996812,BuzzerOn
6199325.19074,BuzzerOff
6200646.720324,VerticalPuffOn
6201147.367651,VerticalPuffOff
6202648.167604,WaterOn
6202688.41835,WaterOff
6216046.405636,BuzzerOn
6216146.689865,BuzzerOff
6217485.739109,VerticalPuffOn
6217986.41989,VerticalPuffOff
6219488.277076,WaterOn
6219528.478889,WaterOff
6236220.117545,BuzzerOn
6236320.363488,BuzzerOff
6237664.507652,VerticalPuffOn
6238164.691553,VerticalPuffOff
6239666.497054,WaterOn
6239706.718564,WaterOff
6252893.796907,BuzzerOn
6252994.020226,BuzzerOff
6254300.282622,BlankOn
6254801.021712,BlankOff
6256302.826816,NoWaterOn
6256343.013242,NoWaterOff
6273441.8047,BuzzerOn
6273541.994305,BuzzerOff
6274848.090132,VerticalPuffOn
6275348.742492,VerticalPuffOff
6276850.732233,WaterOn
6276890.923782,WaterOff
6289324.183175,BuzzerOn
6289424.37193,BuzzerOff
6290820.468488,VerticalPuffOn
6291321.068507,VerticalPuffOff
6292823.093735,WaterOn
6292863.394475,WaterOff
6310298.184892,BuzzerOn
6310398.730497,BuzzerOff
6311692.457166,VerticalPuffOn
6312193.179253,VerticalPuffOff
6313695.118719,WaterOn
6313735.401284,WaterOff
6326980.108571,BuzzerOn
6327080.293298,BuzzerOff
6328352.684309,VerticalPuffOn
6328853.306624,VerticalPuffOff
6330355.117557,WaterOn
6330395.269188,WaterOff
6345279.193414,BuzzerOn
6345379.890965,BuzzerOff
6346964.139793,BlankOn
6347464.747254,BlankOff
6348966.494967,NoWaterOn
6349006.654329,NoWaterOff
6366812.058818,BuzzerOn
6366912.422215,BuzzerOff
6368508.181667,VerticalPuffOn
6369008.787875,VerticalPuffOff
6370510.540368,WaterOn
6370550.66911,WaterOff
6384302.201363,BuzzerOn
6384402.403782,BuzzerOff
6385917.462151,VerticalPuffOn
6386418.063952,VerticalPuffOff
6387919.848885,WaterOn
6387960.047041,WaterOff
6404028.104872,BuzzerOn
6404128.34107,BuzzerOff
6405643.910343,BlankOn
6406144.562039,BlankOff
6407646.587916,NoWaterOn
6407686.818726,NoWaterOff
6424048.054914,BuzzerOn
6424148.313538,BuzzerOff
6425408.934089,VerticalPuffOn
6425909.581528,VerticalPuffOff
6427411.434459,WaterOn
6427451.624945,WaterOff
6441909.354964,BuzzerOn
6442009.589866,BuzzerOff
6443316.11501,VerticalPuffOn
6443816.746978,VerticalPuffOff
6445318.578996,WaterOn
6445358.798118,WaterOff
6463124.03781,BuzzerOn
6463224.205288,BuzzerOff
6464932.156173,VerticalPuffOn
6465432.320604,VerticalPuffOff
6466934.126897,WaterOn
6466974.265361,WaterOff
6479492.052103,BuzzerOn
6479592.22802,BuzzerOff
6481084.773077,VerticalPuffOn
6481585.404401,VerticalPuffOff
6483086.918227,WaterOn
6483127.140806,WaterOff
6500586.707655,BuzzerOn
6500686.893683,BuzzerOff
6502296.492253,VerticalPuffOn
6502796.676971,VerticalPuffOff
6504298.564021,WaterOn
6504338.738145,WaterOff
6519964.276839,BuzzerOn
6520064.465661,BuzzerOff
6521608.220976,VerticalPuffOn
6522108.886948,VerticalPuffOff
6523610.681177,WaterOn
6523650.885882,WaterOff
6538070.867201,BuzzerOn
6538171.072406,BuzzerOff
6539664.121405,VerticalPuffOn
6540164.714431,VerticalPuffOff
6541666.526631,WaterOn
6541706.690305,WaterOff
6558636.458507,BuzzerOn
6558736.740745,BuzzerOff
6560376.993803,VerticalPuffOn
6560877.638164,VerticalPuffOff
6562379.551299,WaterOn
6562419.736646,WaterOff
6580296.078722,BuzzerOn
6580396.605896,BuzzerOff
6581813.389733,BlankOn
6582314.008526,BlankOff
6583814.318278,NoWaterOn
6583854.520575,NoWaterOff
6600440.122391,BuzzerOn
6600540.446436,BuzzerOff
6601785.348279,VerticalPuffOn
6602285.952049,VerticalPuffOff
6603787.865474,WaterOn
6603828.147349,WaterOff
6620160.256949,BuzzerOn
6620260.507453,BuzzerOff
6621570.798304,VerticalPuffOn
6622071.544062,VerticalPuffOff
6623572.182583,WaterOn
6623612.485037,WaterOff
6638451.379542,BuzzerOn
6638551.575799,BuzzerOff
6640015.590943,VerticalPuffOn
6640516.128987,VerticalPuffOff
6642018.033232,WaterOn
6642058.278988,WaterOff
6656264.094318,BuzzerOn
6656364.270884,BuzzerOff
6657763.944568,VerticalPuffOn
6658264.573925,VerticalPuffOff
6659764.904702,WaterOn
6659805.059371,WaterOff
6671845.536802,BuzzerOn
6671945.739007,BuzzerOff
6673284.200131,BlankOn
6673784.838199,BlankOff
6675286.632475,NoWaterOn
6675326.770945,NoWaterOff
6689425.182325,BuzzerOn
6689525.410335,BuzzerOff
6690759.516171,VerticalPuffOn
6691260.121755,VerticalPuffOff
6692762.073493,WaterOn
6692802.318057,WaterOff
6710286.840463,BuzzerOn
6710387.139502,BuzzerOff
6711890.455835,BlankOn
6712391.098718,BlankOff
6713892.186411,NoWaterOn
6713932.308835,NoWaterOff
6726024.049597,BuzzerOn
6726124.14887,BuzzerOff
6727704.443993,VerticalPuffOn
6728204.557875,VerticalPuffOff
6729706.362588,WaterOn
6729746.518366,WaterOff
6743548.049295,BuzzerOn
6743648.268483,BuzzerOff
6744973.285174,VerticalPuffOn
6745473.930941,VerticalPuffOff
6746975.760382,WaterOn
6747015.941533,WaterOff
6760771.211935,BuzzerOn
6760871.40341,BuzzerOff
6762197.88139,VerticalPuffOn
6762698.091487,VerticalPuffOff
6764199.909189,WaterOn
6764240.054104,WaterOff
6776312.066564,BuzzerOn
6776412.336396,BuzzerOff
6777830.929348,VerticalPuffOn
6778331.04193,VerticalPuffOff
6779832.169167,WaterOn
6779872.374788,WaterOff
6792707.89691,BuzzerOn
6792808.143084,BuzzerOff
6794024.122303,VerticalPuffOn
6794524.709914,VerticalPuffOff
6796026.775173,WaterOn
6796066.97063,WaterOff
6812723.397688,BuzzerOn
6812823.577243,BuzzerOff
6814561.858493,VerticalPuffOn
6815062.480261,VerticalPuffOff
6816564.343998,WaterOn
6816604.663327,WaterOff
6833256.971947,BuzzerOn
6833357.280879,BuzzerOff
6835108.12892,BlankOn
6835608.755863,BlankOff
6837110.574625,NoWaterOn
6837150.778127,NoWaterOff
6850840.092692,BuzzerOn
6850940.284819,BuzzerOff
6852556.13812,BlankOn
6853056.763193,BlankOff
6854557.067466,NoWaterOn
6854597.272489,NoWaterOff
6867203.193772,BuzzerOn
6867303.380573,BuzzerOff
6868824.132504,VerticalPuffOn
6869324.740055,VerticalPuffOff
6870826.532787,WaterOn
6870866.710684,WaterOff
6885360.051015,BuzzerOn
6885460.297433,BuzzerOff
6886735.733646,VerticalPuffOn
6887236.413842,VerticalPuffOff
6888738.151756,WaterOn
6888778.292934,WaterOff
6901836.035883,BuzzerOn
6901936.221549,BuzzerOff
6903407.720578,VerticalPuffOn
6903908.066331,VerticalPuffOff
6905410.345423,WaterOn
6905450.600897,WaterOff
6920912.888625,BuzzerOn
6921013.128483,BuzzerOff
6922293.71508,VerticalPuffOn
6922794.426286,VerticalPuffOff
6924296.190752,WaterOn
6924336.339083,WaterOff
6939196.077563,BuzzerOn
6939296.32276,BuzzerOff
6940660.276917,BlankOn
6941160.89201,BlankOff
6942661.210973,NoWaterOn
6942701.390862,NoWaterOff
6958482.025797,BuzzerOn
6958582.263075,BuzzerOff
6960298.697358,VerticalPuffOn
6960799.323151,VerticalPuffOff
6962300.13528,WaterOn
6962340.308542,WaterOff
6977844.110958,BuzzerOn
6977944.420778,BuzzerOff
6979476.133642,BlankOn
6979976.746338,BlankOff
6981478.649059,NoWaterOn
6981518.842897,NoWaterOff
6993941.494437,BuzzerOn
6994041.682413,BuzzerOff
6995576.125673,VerticalPuffOn
6996076.297867,VerticalPuffOff
6997578.102666,WaterOn
6997618.279563,WaterOff
7014736.998076,BuzzerOn
7014837.221891,BuzzerOff
7016320.549769,VerticalPuffOn
7016821.162208,VerticalPuffOff
7018321.633037,WaterOn
7018361.802047,WaterOff
7030400.16473,BuzzerOn
7030500.289403,BuzzerOff
7032248.942557,VerticalPuffOn
7032749.652906,VerticalPuffOff
7034250.073048,WaterOn
7034290.257282,WaterOff
7050787.233923,BuzzerOn
7050887.427823,BuzzerOff
7052606.955943,BlankOn
7053107.594138,BlankOff
7054609.506171,NoWaterOn
7054649.693333,NoWaterOff
7068996.079809,BuzzerOn
7069096.362639,BuzzerOff
7070863.064318,VerticalPuffOn
7071363.849387,VerticalPuffOff
7072864.440707,WaterOn
7072904.675889,WaterOff
7085420.068492,BuzzerOn
7085520.345567,BuzzerOff
7086914.893499,VerticalPuffOn
7087415.574074,VerticalPuffOff
7088916.19842,WaterOn
7088960.193716,WaterOff
7102648.186186,BuzzerOn
7102748.559393,BuzzerOff
7104028.138778,VerticalPuffOn
7104528.750635,VerticalPuffOff
7106030.635486,WaterOn
7106070.854579,WaterOff
7118848.046649,BuzzerOn
7118948.206568,BuzzerOff
7120226.565917,BlankOn
7120726.699988,BlankOff
7122228.171539,NoWaterOn
7122268.271673,NoWaterOff
7134804.095475,BuzzerOn
7134904.304934,BuzzerOff
7136234.408336,VerticalPuffOn
7136735.047251,VerticalPuffOff
7138237.594357,WaterOn
7138277.776473,WaterOff
7151252.203417,BuzzerOn
7151352.884704,BuzzerOff
7152712.764344,BlankOn
7153213.391057,BlankOff
7154715.223476,NoWaterOn
7154755.398444,NoWaterOff
7169384.080632,BuzzerOn
7169484.359005,BuzzerOff
7170955.718268,VerticalPuffOn
7171456.42437,VerticalPuffOff
7172958.253443,WaterOn
7172998.405211,WaterOff
7190728.955004,BuzzerOn
7190829.17929,BuzzerOff
7192462.144919,BlankOn
7192962.762657,BlankOff
7194464.707336,NoWaterOn
7194504.889049,NoWaterOff
7210086.727106,BuzzerOn
7210186.949636,BuzzerOff
7211939.382162,VerticalPuffOn
7212440.042735,VerticalPuffOff
7213941.890607,WaterOn
7213982.045266,WaterOff
