time,details
14522354.158485,task start
14544733.164649,BuzzerOn
14544833.413065,BuzzerOff
14546584.080136,VerticalPuffOn
14547084.673974,VerticalPuffOff
14548586.521768,NoWaterOn
14548636.782567,NoWaterOff
14560920.057962,BuzzerOn
14561020.194976,BuzzerOff
14562717.553181,VerticalPuffOn
14563218.137272,VerticalPuffOff
14564719.872548,WaterOn
14564770.002813,WaterOff
14577436.839499,BuzzerOn
14577537.033977,BuzzerOff
14578776.244849,VerticalPuffOn
14579276.861673,VerticalPuffOff
14580777.175937,NoWaterOn
14580827.337906,NoWaterOff
14594216.141503,BuzzerOn
14594316.540183,BuzzerOff
14595575.714715,VerticalPuffOn
14596076.37779,VerticalPuffOff
14597578.489701,WaterOn
14597628.781336,WaterOff
14614645.951831,BuzzerOn
14614746.166499,BuzzerOff
14616187.522088,VerticalPuffOn
14616688.120049,VerticalPuffOff
14618189.8901,NoWaterOn
14618240.041498,NoWaterOff
14632655.944027,BuzzerOn
14632756.244899,BuzzerOff
14633989.332073,VerticalPuffOn
14634490.110764,VerticalPuffOff
14635992.292878,WaterOn
14636042.577497,WaterOff
14652917.452296,BuzzerOn
14653017.828762,BuzzerOff
14654300.154218,BlankOn
14654800.753054,BlankOff
14656302.572157,NoWaterOn
14656352.792519,NoWaterOff
14674296.053941,BuzzerOn
14674396.273912,BuzzerOff
14675698.484572,VerticalPuffOn
14676199.095846,VerticalPuffOff
14677702.446605,NoWaterOn
14677752.727263,NoWaterOff
14692248.551518,BuzzerOn
14692348.733307,BuzzerOff
14693892.698125,VerticalPuffOn
14694392.987101,VerticalPuffOff
14695895.004379,WaterOn
14695945.287983,WaterOff
14713440.049352,BuzzerOn
14713540.259698,BuzzerOff
14715019.477669,VerticalPuffOn
14715520.137761,VerticalPuffOff
14717020.459328,NoWaterOn
14717070.630806,NoWaterOff
14730975.501097,BuzzerOn
14731075.779777,BuzzerOff
14732331.82048,VerticalPuffOn
14732832.413897,VerticalPuffOff
14734334.176853,NoWaterOn
14734384.31598,NoWaterOff
14751682.44639,BuzzerOn
14751782.677388,BuzzerOff
14753388.680627,VerticalPuffOn
14753889.409903,VerticalPuffOff
14755391.556384,WaterOn
14755441.73653,WaterOff
14771538.789268,BuzzerOn
14771638.973287,BuzzerOff
14773161.613788,VerticalPuffOn
14773662.209855,VerticalPuffOff
14775164.146701,WaterOn
14775214.375848,WaterOff
14788120.047585,BuzzerOn
14788220.241143,BuzzerOff
14789826.980979,VerticalPuffOn
14790327.585553,VerticalPuffOff
14791830.134597,WaterOn
14791880.273653,WaterOff
14804136.060168,BuzzerOn
14804236.299448,BuzzerOff
14805531.27703,VerticalPuffOn
14806031.90724,VerticalPuffOff
14807533.765744,NoWaterOn
14807583.934615,NoWaterOff
14820580.091107,BuzzerOn
14820680.371481,BuzzerOff
14822196.240661,VerticalPuffOn
14822696.868009,VerticalPuffOff
14824198.73059,NoWaterOn
14824248.908684,NoWaterOff
14841696.04014,BuzzerOn
14841796.260757,BuzzerOff
14843363.158654,BlankOn
14843863.814732,BlankOff
14845365.698154,NoWaterOn
14845415.942451,NoWaterOff
14863068.082864,BuzzerOn
14863168.394945,BuzzerOff
14864539.588965,VerticalPuffOn
14865040.237367,VerticalPuffOff
14866542.285405,NoWaterOn
14866592.443945,NoWaterOff
14881140.615616,BuzzerOn
14881240.803923,BuzzerOff
14882864.196344,VerticalPuffOn
14883364.394113,VerticalPuffOff
14884866.231362,WaterOn
14884916.512771,WaterOff
14898406.020543,BuzzerOn
14898506.235961,BuzzerOff
14899940.373168,VerticalPuffOn
14900441.008398,VerticalPuffOff
14901942.89085,WaterOn
14901993.104761,WaterOff
14916176.060388,BuzzerOn
14916276.324251,BuzzerOff
14917641.29226,VerticalPuffOn
14918142.04081,VerticalPuffOff
14919644.182442,WaterOn
14919694.400002,WaterOff
14932661.740377,BuzzerOn
14932761.953465,BuzzerOff
14934186.430688,BlankOn
14934687.040264,BlankOff
14936188.195322,NoWaterOn
14936238.376309,NoWaterOff
14951367.595712,BuzzerOn
14951467.827708,BuzzerOff
14952930.464722,BlankOn
14953430.676849,BlankOff
14954933.043699,NoWaterOn
14954983.217465,NoWaterOff
14967996.088913,BuzzerOn
14968096.326058,BuzzerOff
14969595.906587,VerticalPuffOn
14970096.053036,VerticalPuffOff
14971598.214426,WaterOn
14971648.38821,WaterOff
14984320.032225,BuzzerOn
14984420.226483,BuzzerOff
14985675.752066,VerticalPuffOn
14986176.08572,VerticalPuffOff
14987678.238273,WaterOn
14987728.370707,WaterOff
15002294.844477,BuzzerOn
15002395.113179,BuzzerOff
15004051.724417,VerticalPuffOn
15004552.051003,VerticalPuffOff
15006053.91906,WaterOn
15006104.100531,WaterOff
15022584.100701,BuzzerOn
15022684.50442,BuzzerOff
15024061.014119,VerticalPuffOn
15024561.612131,VerticalPuffOff
15026063.384115,WaterOn
15026113.531661,WaterOff
15041744.061491,BuzzerOn
15041844.371472,BuzzerOff
15043372.16005,VerticalPuffOn
15043872.79442,VerticalPuffOff
15045373.348499,WaterOn
15045423.507564,WaterOff
15062716.031273,BuzzerOn
15062816.31733,BuzzerOff
15064115.780487,VerticalPuffOn
15064616.406807,VerticalPuffOff
15066118.273341,WaterOn
15066168.453794,WaterOff
15080628.066783,BuzzerOn
15080728.302009,BuzzerOff
15082328.311488,VerticalPuffOn
15082828.932164,VerticalPuffOff
15084329.339944,WaterOn
15084379.461511,WaterOff
15101103.657866,BuzzerOn
15101203.866185,BuzzerOff
15102955.42186,VerticalPuffOn
15103456.036005,VerticalPuffOff
15104958.129601,NoWaterOn
15105008.50409,NoWaterOff
15121536.137716,BuzzerOn
15121636.503386,BuzzerOff
15123070.773283,VerticalPuffOn
15123571.394896,VerticalPuffOff
15125072.198495,WaterOn
15125122.353191,WaterOff
15137380.037609,BuzzerOn
15137480.192617,BuzzerOff
15139159.2989,VerticalPuffOn
15139659.971293,VerticalPuffOff
15141161.90179,WaterOn
15141212.035005,WaterOff
15154288.049981,BuzzerOn
15154388.247952,BuzzerOff
15156092.487457,VerticalPuffOn
15156592.628493,VerticalPuffOff
15158094.476836,WaterOn
15158144.629867,WaterOff
15174116.073571,BuzzerOn
15174216.211081,BuzzerOff
15175666.366156,VerticalPuffOn
15176167.056205,VerticalPuffOff
15177669.560474,WaterOn
15177719.768412,WaterOff
15190603.759014,BuzzerOn
15190704.048577,BuzzerOff
15192262.399094,VerticalPuffOn
15192763.176978,VerticalPuffOff
15194264.259193,NoWaterOn
15194314.405539,NoWaterOff
15211827.784866,BuzzerOn
15211927.956581,BuzzerOff
15213176.181835,BlankOn
15213676.379864,BlankOff
15215176.669995,NoWaterOn
15215226.805917,NoWaterOff
15232816.033493,BuzzerOn
15232916.262688,BuzzerOff
15234182.412743,VerticalPuffOn
15234683.159526,VerticalPuffOff
15236185.019602,WaterOn
15236235.176986,WaterOff
15252451.725359,BuzzerOn
15252551.919945,BuzzerOff
15253757.554081,VerticalPuffOn
15254258.161295,VerticalPuffOff
15255760.042253,WaterOn
15255810.223285,WaterOff
15270744.221735,BuzzerOn
15270844.432747,BuzzerOff
15272263.326765,VerticalPuffOn
15272763.93615,VerticalPuffOff
15274264.269147,WaterOn
15274314.443087,WaterOff
15289589.676518,BuzzerOn
15289689.863513,BuzzerOff
15291480.211555,VerticalPuffOn
15291980.889738,VerticalPuffOff
15293482.714254,WaterOn
15293532.851584,WaterOff
15307292.063268,BuzzerOn
15307392.292911,BuzzerOff
15308815.62314,VerticalPuffOn
15309316.214902,VerticalPuffOff
15310818.101129,NoWaterOn
15310868.279144,NoWaterOff
15327288.117195,BuzzerOn
15327388.38906,BuzzerOff
15328686.809566,VerticalPuffOn
15329187.437534,VerticalPuffOff
15330689.498897,NoWaterOn
15330739.674042,NoWaterOff
15346273.614318,BuzzerOn
15346373.802611,BuzzerOff
15348175.855243,BlankOn
15348676.137627,BlankOff
15350178.027448,NoWaterOn
15350228.298073,NoWaterOff
15365105.187089,BuzzerOn
15365205.446585,BuzzerOff
15366793.585117,VerticalPuffOn
15367294.237646,VerticalPuffOff
15368796.41221,WaterOn
15368846.542412,WaterOff
15382294.414429,BuzzerOn
15382394.613279,BuzzerOff
15383997.251879,BlankOn
15384498.028464,BlankOff
15386000.03065,NoWaterOn
15386050.334941,NoWaterOff
15402848.120402,BuzzerOn
15402948.364177,BuzzerOff
15404384.308173,VerticalPuffOn
15404884.954855,VerticalPuffOff
15406386.998494,WaterOn
15406437.201954,WaterOff
15422864.052858,BuzzerOn
15422964.287838,BuzzerOff
15424289.292749,VerticalPuffOn
15424789.415185,VerticalPuffOff
15426292.15093,WaterOn
15426342.570553,WaterOff
15441408.056479,BuzzerOn
15441508.242441,BuzzerOff
15442939.848497,VerticalPuffOn
15443440.462981,VerticalPuffOff
15444942.753297,WaterOn
15444992.969443,WaterOff
15461816.105208,BuzzerOn
15461916.318651,BuzzerOff
15463344.183452,VerticalPuffOn
15463844.321262,VerticalPuffOff
15465346.046115,WaterOn
15465396.173392,WaterOff
15480793.535729,BuzzerOn
15480893.7251,BuzzerOff
15482617.282592,BlankOn
15483117.927803,BlankOff
15484619.699662,NoWaterOn
15484669.841031,NoWaterOff
15500124.089366,BuzzerOn
15500224.308033,BuzzerOff
15501843.639183,VerticalPuffOn
15502344.27797,VerticalPuffOff
15503846.242443,NoWaterOn
15503896.453182,NoWaterOff
15518700.085547,BuzzerOn
15518800.329084,BuzzerOff
15520244.519726,BlankOn
15520745.145238,BlankOff
15522246.940016,NoWaterOn
15522297.090646,NoWaterOff
15539524.572671,BuzzerOn
15539624.837412,BuzzerOff
15540839.709564,VerticalPuffOn
15541340.310024,VerticalPuffOff
15542842.111124,NoWaterOn
15542892.291271,NoWaterOff
15556150.442405,BuzzerOn
15556250.655221,BuzzerOff
15557734.594162,VerticalPuffOn
15558234.752187,VerticalPuffOff
15559736.719382,WaterOn
15559786.887956,WaterOff
15576970.183763,BuzzerOn
15577070.365599,BuzzerOff
15578772.918041,VerticalPuffOn
15579273.045661,VerticalPuffOff
15580774.799681,WaterOn
15580824.951551,WaterOff
15594640.048449,BuzzerOn
15594740.191731,BuzzerOff
