time,details
10457811.726552,task start
10484860.211626,BuzzerOn
10484960.56465,BuzzerOff
10486241.582902,VerticalPuffOn
10486742.225097,VerticalPuffOff
10488244.135131,WaterOn
10488294.310608,WaterOff
10505128.04224,BuzzerOn
10505228.208148,BuzzerOff
10506461.711302,VerticalPuffOn
10506962.293431,VerticalPuffOff
10508464.123321,WaterOn
10508514.281516,WaterOff
10521084.082031,BuzzerOn
10521184.29407,BuzzerOff
10522775.734745,VerticalPuffOn
10523276.174468,VerticalPuffOff
10524778.471181,WaterOn
10524828.644127,WaterOff
10540717.529611,BuzzerOn
10540817.833357,BuzzerOff
10542448.26355,VerticalPuffOn
10542948.890741,VerticalPuffOff
10544451.00924,WaterOn
10544501.175124,WaterOff
10557120.093588,BuzzerOn
10557220.385262,BuzzerOff
10558671.102734,BlankOn
10559171.797005,BlankOff
10560674.120515,NoWaterOn
10560724.307631,NoWaterOff
10577387.582445,BuzzerOn
10577487.788016,BuzzerOff
10579222.277153,BlankOn
10579722.87588,BlankOff
10581224.700321,NoWaterOn
10581274.905745,NoWaterOff
10593552.112902,BuzzerOn
10593652.384082,BuzzerOff
10594981.709711,VerticalPuffOn
10595482.297547,VerticalPuffOff
10596984.122235,WaterOn
10597034.266873,WaterOff
10610112.11027,BuzzerOn
10610212.33597,BuzzerOff
10611496.193261,VerticalPuffOn
10611996.806649,VerticalPuffOff
10613498.893918,WaterOn
10613549.034287,WaterOff
10629076.042195,BuzzerOn
10629176.261785,BuzzerOff
10630717.412448,VerticalPuffOn
10631218.061401,VerticalPuffOff
10632720.643647,WaterOn
10632770.782563,WaterOff
10649820.043363,BuzzerOn
10649920.236882,BuzzerOff
10651276.179838,BlankOn
10651776.403369,BlankOff
10653276.798317,NoWaterOn
10653326.955318,NoWaterOff
10670972.089818,BuzzerOn
10671072.335617,BuzzerOff
10672734.083737,BlankOn
10673234.776472,BlankOff
10674736.123507,NoWaterOn
10674786.307758,NoWaterOff
10689384.053795,BuzzerOn
10689484.322147,BuzzerOff
10690765.64139,VerticalPuffOn
10691266.27012,VerticalPuffOff
10692768.094859,WaterOn
