time,position,direction
4580370.761574,0,
4586708.066457,-1,L
4587725.020727,-2,L
4588012.907915,-3,L
4588648.238652,-4,L
4589361.896291,-5,L
4590426.997394,-4,R
4590733.057893,-3,R
4590937.443687,-2,R
4591153.132488,-1,R
4591244.668107,0,R
4591376.430771,-1,L
4591502.641255,-2,L
4591567.92838,-1,R
4591598.627526,0,R
4591706.295236,-1,L
4591753.713589,-2,L
4591962.877585,-1,R
4592176.137225,-2,L
4592217.618074,-3,L
4592242.227312,-4,L
4592265.898684,-5,L
4592321.475304,-4,R
4592355.043381,-3,R
4592649.498503,-4,L
4592793.086179,-3,R
4592894.470376,-2,R
4592958.054561,-1,R
4593492.041879,-2,L
4594116.906392,-1,R
4594869.710248,0,R
4597235.502379,-1,L
4599942.422882,0,R
4601867.727409,-1,L
4602088.113662,-2,L
4603775.922727,-1,R
4605343.571138,-2,L
4605800.894934,-1,R
4606039.67833,0,R
4606450.485378,1,R
4606554.539417,2,R
4606619.869071,3,R
4606649.610432,4,R
4606823.239098,3,L
4606860.458556,2,L
4606895.28848,1,L
4607029.535647,0,L
4607061.55836,-1,L
4607088.195092,-2,L
4607260.715249,-3,L
4607301.683767,-4,L
4607422.097711,-5,L
4608503.70829,-4,R
4608782.070041,-3,R
4609212.524964,-2,R
4610892.904873,-1,R
4612784.204883,0,R
4614202.888492,1,R
4621086.682993,2,R
4624709.996201,3,R
4627496.532172,2,L
4627781.313113,1,L
4628372.787888,0,L
4628480.336372,-1,L
4628590.636551,-2,L
4628761.564364,-3,L
4628800.613808,-4,L
4628972.964125,-3,R
4629015.414895,-2,R
4629664.618624,-1,R
4630062.058938,0,R
4630739.914884,1,R
4631221.6028,0,L
4631990.90118,-1,L
4632467.215286,-2,L
4632641.698172,-3,L
4632693.991896,-4,L
4632858.392743,-5,L
4633457.140918,-4,R
4634072.620329,-3,R
4635087.8399,-2,R
4637727.663772,-1,R
4641702.24202,0,R
4646293.005361,1,R
4647252.598624,0,L
4648205.312226,1,R
4651758.131127,2,R
4654719.920498,1,L
4654833.913605,0,L
4656601.917201,1,R
4658974.735965,2,R
4660348.887532,3,R
4666282.721019,2,L
4669143.924599,1,L
4669500.154052,2,R
4670168.943235,3,R
4676260.277933,2,L
4676676.216992,3,R
4682384.804617,2,L
4686158.202264,1,L
4686422.439258,2,R
4693059.44655,1,L
4695973.573773,0,L
4696017.841534,-1,L
4696043.101435,-2,L
4696064.860509,-3,L
4696091.350567,-4,L
4696232.580378,-5,L
4696275.250212,-6,L
4696541.735089,-7,L
4696575.411019,-8,L
4696628.169714,-9,L
4696950.118632,-8,R
4697439.491615,-9,L
4698264.192751,-8,R
4698718.592061,-7,R
4698866.137359,-6,R
4699267.618368,-5,R
4699580.281305,-4,R
4700006.886072,-3,R
4701745.693607,-2,R
4702386.851487,-3,L
4703452.186395,-4,L
4703681.810431,-3,R
4704070.845874,-4,L
4705007.058014,-3,R
4705770.563561,-2,R
4706511.562072,-1,R
4707363.676492,0,R
4708843.672812,1,R
4710318.550326,2,R
4714877.77873,3,R
4721283.042764,4,R
4721681.176792,3,L
4728905.786862,4,R
4734531.644001,3,L
4734585.742612,2,L
4734892.457237,3,R
4735348.714116,2,L
4735380.225923,1,L
4736245.756821,2,R
4738219.154728,3,R
4742711.392149,4,R
4750592.946791,3,L
4750726.71203,4,R
4754591.345078,5,R
4758618.409297,4,L
4758886.826534,3,L
4758934.174919,2,L
4759101.575675,1,L
4759208.771853,0,L
4759320.36895,-1,L
4759723.703358,0,R
4760098.285427,-1,L
4760316.698324,0,R
4761560.27522,1,R
4763248.033749,2,R
4765543.14759,3,R
4768350.032446,4,R
4772323.914947,5,R
4778875.230344,6,R
4785694.887573,5,L
4793070.751937,6,R
4795602.763608,7,R
4800718.154669,6,L
4804074.960661,5,L
4808883.512946,6,R
4819027.935888,5,L
4819620.686147,4,L
4821325.585558,3,L
4821396.887854,2,L
4821445.602828,1,L
4821501.563255,0,L
4821595.346245,-1,L
4821634.574223,-2,L
4821674.055769,-3,L
4821769.081769,-2,R
4822005.123637,-3,L
4822144.243028,-2,R
4822436.071792,-3,L
4822641.699639,-2,R
4822676.219386,-1,R
4822701.002012,0,R
4822723.110049,1,R
4823082.339676,0,L
4823365.040993,-1,L
4823402.362846,-2,L
4823665.321871,-3,L
4823906.282783,-4,L
4823940.697866,-5,L
4824151.377755,-6,L
4824299.311475,-5,R
4824436.517632,-4,R
4824680.656088,-3,R
4825120.222045,-2,R
4825377.207093,-1,R
4826086.224978,0,R
4827157.33476,1,R
4827563.623377,2,R
4828467.790768,3,R
4830688.05587,4,R
4835081.144943,3,L
4839600.913369,4,R
4843884.395495,5,R
4847497.123595,4,L
4849668.530548,5,R
4853101.852197,4,L
4854212.031994,5,R
4857894.080702,6,R
4864157.022919,5,L
4864544.504741,6,R
4869058.10384,7,R
4872422.440286,6,L
4878687.325175,7,R
4879877.375642,8,R
4882445.847051,7,L
4885467.659983,6,L
4885524.527177,5,L
4885549.544347,4,L
4885576.12578,3,L
4885619.550595,2,L
4885674.215873,1,L
4885701.819655,0,L
4885816.718056,1,R
4886053.235177,0,L
4886127.156138,1,R
4886158.591616,2,R
4886213.000511,3,R
4886568.137975,4,R
4886984.12166,3,L
4887256.123584,4,R
4887997.235026,5,R
4888693.517577,6,R
4890333.371385,7,R
4892565.917263,8,R
4894334.087201,9,R
4899232.290349,10,R
4902009.846563,9,L
4902091.239466,8,L
4903106.164606,9,R
4904212.829363,8,L
4904458.003444,7,L
4906281.086903,8,R
4907737.215154,9,R
4919443.018771,8,L
4921180.042119,7,L
4921322.226992,6,L
4922635.460978,7,R
4926914.866392,8,R
4928467.982233,9,R
4933365.75425,8,L
4933880.31311,7,L
4934547.214422,6,L
4934585.557247,5,L
4934674.542619,6,R
4934806.831342,7,R
4934865.543665,6,L
4935504.107372,7,R
4935606.414151,6,L
4935752.956982,5,L
4936202.667174,4,L
4936301.705726,3,L
4936364.998028,2,L
4936394.66885,1,L
4936429.823816,0,L
4936920.253766,-1,L
4937178.516996,-2,L
4937367.633381,-3,L
4937394.278174,-4,L
4937414.122776,-5,L
4937438.391638,-6,L
4937503.470254,-7,L
4937526.553937,-8,L
4937565.959147,-9,L
4938199.347437,-10,L
4938282.896925,-11,L
4938356.440457,-12,L
4938396.99844,-13,L
4938437.183116,-14,L
4938480.45182,-15,L
4938590.153779,-16,L
4938640.665331,-17,L
4938856.930203,-16,R
4938889.47078,-15,R
4939115.997179,-14,R
4939138.38308,-13,R
4939152.943923,-12,R
4939165.589565,-11,R
4939178.035786,-10,R
4939191.961068,-9,R
4939209.498774,-8,R
4939236.794628,-7,R
4939670.249875,-6,R
4939825.323754,-5,R
4939861.467885,-4,R
4940090.610138,-5,L
4940148.245596,-6,L
4940233.142539,-7,L
4940345.796123,-8,L
4940646.404027,-9,L
4941457.132059,-8,R
4941916.666302,-7,R
4944331.144781,-6,R
4947425.200104,-7,L
4947701.960205,-8,L
4947731.6039,-9,L
4947773.839831,-10,L
4947973.323382,-9,R
4948140.883268,-10,L
4948352.181666,-11,L
4948382.503939,-12,L
4948407.514435,-13,L
4948469.164905,-14,L
4948520.146025,-13,R
4948588.43743,-12,R
4948729.627553,-11,R
4948782.331247,-12,L
4948806.171508,-13,L
4948870.242132,-12,R
4948918.564103,-11,R
4948997.451806,-10,R
4949041.669808,-9,R
4949615.885807,-8,R
4949914.236128,-7,R
4951857.014839,-8,L
4953642.657077,-7,R
4955106.263164,-6,R
4955366.134947,-5,R
4955390.393422,-4,R
4955774.197638,-3,R
4955808.37761,-2,R
4956008.999166,-3,L
4956052.260745,-4,L
4957111.094497,-3,R
4964340.703176,-2,R
4966183.583751,-3,L
4966300.084607,-2,R
4966958.908852,-3,L
4967168.917746,-4,L
