time,position,direction
8173517.748597,0,
8173686.264154,1,R
8173731.666363,2,R
8173769.360915,1,L
8173794.00235,0,L
8173972.340012,1,R
8173994.537435,2,R
8174004.377224,3,R
8174012.261322,4,R
8174020.433357,5,R
8174031.402137,6,R
8174069.201556,5,L
8174099.48585,4,L
8174187.333899,5,R
8174337.26759,6,R
8174371.65928,7,R
8174443.536546,6,L
8174457.993664,5,L
8174467.599367,4,L
8174475.774013,3,L
8174483.628778,2,L
8174492.31593,1,L
8174502.295327,0,L
8174513.142091,-1,L
8174525.751348,-2,L
8174574.340293,-1,R
8174595.730625,0,R
8174697.013336,1,R
8174780.164615,2,R
8174793.739533,3,R
8174805.548476,4,R
8174819.155523,5,R
8174841.083842,6,R
8174923.209665,7,R
8174948.674302,8,R
8175057.53986,7,L
8175075.506722,6,L
8175087.552475,5,L
8175098.251669,4,L
8175108.270824,3,L
8175117.687828,2,L
8175126.747711,1,L
8175135.800391,0,L
8175145.191932,-1,L
8175155.652651,-2,L
8175169.818702,-3,L
8175223.897212,-2,R
8175240.213838,-1,R
8175261.209181,0,R
8175306.475672,-1,L
8175322.038558,-2,L
8175337.07268,-3,L
8175351.587018,-4,L
8175365.591647,-5,L
8175379.416966,-6,L
8175418.69946,-7,L
8175517.987647,-8,L
8175530.641588,-9,L
8175541.026216,-10,L
8175550.449905,-11,L
8175559.738264,-12,L
8175569.888601,-13,L
8175586.488739,-14,L
8175664.106398,-13,R
8175709.118044,-12,R
8175927.055358,-11,R
8175959.484802,-10,R
8175975.091057,-9,R
8175988.095138,-8,R
8176001.122217,-7,R
8176012.531393,-6,R
8176023.505247,-5,R
8176036.641176,-4,R
8176057.629518,-3,R
8176081.348181,-2,R
8176106.430087,-1,R
8176172.212358,-2,L
8176189.542441,-3,L
8176202.333471,-4,L
8176213.557263,-5,L
8176224.071647,-6,L
8176234.577753,-7,L
8176246.792464,-8,L
8176263.505932,-9,L
8176294.228771,-10,L
8176322.565188,-11,L
8176338.997126,-12,L
8176351.498849,-13,L
8176363.942758,-14,L
8176385.487198,-15,L
8176475.786704,-16,L
8176557.389467,-15,R
8176764.076824,-16,L
8176805.400674,-17,L
8176976.563721,-16,R
8177001.334783,-15,R
8177013.080543,-14,R
8177022.766522,-13,R
8177033.407125,-12,R
8177049.049398,-11,R
8177106.579655,-12,L
8177180.028493,-11,R
8177221.750314,-10,R
8177349.343271,-11,L
8177409.068788,-12,L
8177428.423764,-13,L
8177442.637573,-14,L
8177454.426277,-15,L
8177465.494221,-16,L
8177477.343182,-17,L
8177533.105169,-16,R
8177684.344736,-15,R
8177998.86353,-16,L
8178158.627439,-15,R
8178252.409636,-16,L
8178431.724423,-15,R
8178461.007372,-14,R
8178478.93031,-13,R
8178495.611057,-12,R
8178513.097951,-11,R
8178533.585695,-10,R
8178558.673046,-9,R
8178697.995265,-8,R
8178915.944007,-7,R
8178989.68656,-6,R
8179009.035777,-5,R
8179027.815046,-4,R
8179047.081487,-3,R
8179072.589124,-2,R
8179161.854398,-1,R
8179196.219886,0,R
8179278.030903,1,R
8179300.91792,2,R
8179410.410907,3,R
8179441.527847,4,R
8179467.56647,5,R
8179531.434254,6,R
8179594.041957,7,R
8179623.725581,8,R
8179677.588931,9,R
8179754.545867,10,R
8179913.727679,9,L
8179940.449063,8,L
8179957.689074,7,L
8179971.974622,6,L
8179985.703814,5,L
8179999.839496,4,L
8180017.536644,3,L
8180099.118574,2,L
8180122.0812,1,L
8180135.030986,0,L
8180146.127188,-1,L
8180155.937183,-2,L
8180165.236375,-3,L
8180174.530956,-4,L
8180184.871103,-5,L
8180200.135627,-6,L
8180265.550797,-5,R
8180295.138201,-4,R
8180425.129674,-3,R
8180452.177513,-2,R
8180489.197212,-1,R
8180521.396532,0,R
8180536.386155,1,R
8180547.623317,2,R
8180557.558567,3,R
8180567.151937,4,R
8180577.731079,5,R
8180592.872828,6,R
8180668.404966,7,R
8180839.324799,8,R
8181041.840375,9,R
8181270.247874,10,R
8181312.600216,11,R
8181700.53765,12,R
8183498.977579,13,R
8183565.836436,14,R
8183629.776921,15,R
8183673.143276,16,R
8183713.727497,17,R
8183749.746925,18,R
8183986.504216,17,L
8184471.176685,16,L
8184500.736146,15,L
8184519.992051,14,L
8184539.598781,13,L
8184564.993068,12,L
8184665.580541,11,L
8184718.277013,10,L
8185163.169075,11,R
8185229.254674,12,R
8185252.622309,13,R
8185336.527497,14,R
8185369.037958,15,R
8185391.579095,16,R
8185565.693647,17,R
8185623.32118,18,R
8186065.128432,17,L
8187787.567385,18,R
8187826.800455,19,R
8187849.628808,20,R
8187950.345556,21,R
8187982.693188,22,R
8188012.782469,23,R
8188176.723036,22,L
8188268.19148,21,L
8188950.309125,20,L
8189008.259911,19,L
8190985.003326,20,R
8194368.925096,21,R
8195408.490245,22,R
8198211.607407,21,L
8198672.816503,22,R
8199969.930256,23,R
8200002.686576,24,R
8200039.911871,25,R
8200309.623815,26,R
8200803.32609,27,R
8201141.850586,26,L
8201306.821414,25,L
8201331.787771,24,L
8201350.228113,23,L
8201366.807981,22,L
8201382.206168,21,L
8201399.224663,20,L
8201422.302249,19,L
8201550.073963,20,R
8201678.23562,19,L
8201710.158488,18,L
8201733.572238,17,L
8201753.762222,16,L
8201775.650145,15,L
8201814.17923,14,L
8201884.806813,13,L
8201981.769099,12,L
8202059.977525,11,L
8202202.719223,12,R
8202593.413869,13,R
8202946.500012,14,R
8204119.793494,15,R
