time,position,direction
7809222.098334,0,
7812526.225015,1,R
7812745.309943,0,L
7812926.538568,1,R
7813439.150554,2,R
7815361.841795,3,R
7819727.887533,4,R
7825068.934061,5,R
7825087.212466,6,R
7825101.018971,7,R
7825114.860901,8,R
7825126.452262,9,R
7825137.605279,10,R
7825149.238824,11,R
7825160.047643,12,R
7825170.738632,13,R
7825182.245568,14,R
7825194.210885,15,R
7825206.926966,16,R
7825220.031391,17,R
7825233.096595,18,R
7825247.093838,19,R
7825263.104969,20,R
7825283.352781,21,R
7825305.380505,22,R
7825324.888054,23,R
7825344.051868,24,R
7825365.075036,25,R
7825391.853562,26,R
7825449.035324,27,R
7825748.140578,28,R
7825926.217189,27,L
7825976.162288,26,L
7825992.182938,25,L
7826002.818131,24,L
7826011.43875,23,L
7826018.937945,22,L
7826025.543139,21,L
7826031.717229,20,L
7826037.14724,19,L
7826042.469605,18,L
7826047.479439,17,L
7826052.234407,16,L
7826056.943505,15,L
7826061.289536,14,L
7826065.689455,13,L
7826070.032597,12,L
7826074.388295,11,L
7826078.688734,10,L
7826082.901361,9,L
7826087.068432,8,L
7826091.249633,7,L
7826095.439185,6,L
7826099.631293,5,L
7826103.835586,4,L
7826108.1191,3,L
7826112.638443,2,L
7826117.382985,1,L
7826122.664407,0,L
7826128.771701,-1,L
7826135.939088,-2,L
7826144.838406,-3,L
7826157.57019,-4,L
7826207.83795,-3,R
7826252.947916,-2,R
7826272.523519,-1,R
7826286.481651,0,R
7826301.725796,1,R
7826356.073259,0,L
7826431.399057,-1,L
7826481.192456,-2,L
7826511.737449,-3,L
7826526.709007,-4,L
7826537.409699,-5,L
7826546.386496,-6,L
7826554.16952,-7,L
7826561.28363,-8,L
7826568.111559,-9,L
7826574.65968,-10,L
7826580.677902,-11,L
7826586.416574,-12,L
7826591.984546,-13,L
7826597.561517,-14,L
7826603.215469,-15,L
7826608.984529,-16,L
7826614.852958,-17,L
7826620.802997,-18,L
7826627.039216,-19,L
7826633.789851,-20,L
7826641.315712,-21,L
7826649.764186,-22,L
7826659.811316,-23,L
7826673.123182,-24,L
7826692.430234,-25,L
7826713.934264,-26,L
7826731.587513,-27,L
7826744.717975,-28,L
7826756.664126,-29,L
7826773.08775,-30,L
7826796.122215,-31,L
7826829.868019,-32,L
7826858.752562,-33,L
7826923.200227,-32,R
7826960.212898,-31,R
7826989.364639,-30,R
7827014.588194,-29,R
7827034.503864,-28,R
7827048.988838,-27,R
7827061.031246,-26,R
7827072.327316,-25,R
7827083.51261,-24,R
7827094.677923,-23,R
7827106.846866,-22,R
7827120.716759,-21,R
7827137.640207,-20,R
7827196.446272,-21,L
7827384.237446,-20,R
7827401.393445,-19,R
7827415.633053,-18,R
7827428.345782,-17,R
7827440.420115,-16,R
7827452.402302,-15,R
7827464.597115,-14,R
7827476.265715,-13,R
7827487.756966,-12,R
7827499.509287,-11,R
7827511.235016,-10,R
7827523.352941,-9,R
7827535.950783,-8,R
7827548.750677,-7,R
7827561.786937,-6,R
7827575.980102,-5,R
7827594.168711,-4,R
7827629.19953,-3,R
7827670.809282,-2,R
7827713.016394,-1,R
7827817.424176,0,R
7827838.168276,1,R
7827852.251758,2,R
7827864.37996,3,R
7827876.093374,4,R
7827888.256373,5,R
7827900.829882,6,R
7827913.513186,7,R
7827926.460596,8,R
7827940.316674,9,R
7827955.117383,10,R
7827982.978574,11,R
7828035.787509,12,R
