time,position,direction
8130983.352655,0,
8133953.626293,-1,L
8133991.286478,-2,L
8134009.361815,-3,L
8134028.503411,-4,L
8134056.372922,-5,L
8134134.763735,-4,R
8134262.892754,-3,R
8134415.417496,-4,L
8134635.688911,-3,R
8135435.80425,-2,R
8137138.681449,-3,L
8137163.558051,-4,L
8137186.410061,-5,L
8137348.326502,-4,R
8137763.945472,-5,L
8138043.130352,-4,R
8138500.131531,-5,L
8138882.578605,-4,R
8139862.487987,-3,R
8140600.879211,-4,L
8140627.498707,-5,L
8140727.012933,-4,R
8140775.033669,-3,R
8140950.310756,-4,L
8141092.105286,-5,L
8141111.972202,-6,L
8141127.156518,-7,L
8141193.717825,-6,R
8141264.114025,-7,L
8141425.485846,-6,R
8141454.412079,-5,R
8141759.822296,-6,L
8141793.963878,-7,L
8141813.388821,-8,L
8141878.812574,-7,R
8141955.305163,-8,L
8142009.60023,-7,R
8142072.541955,-8,L
8142093.02286,-9,L
8142109.006384,-10,L
8142124.846077,-11,L
8142168.723241,-10,R
8142186.756783,-9,R
8142209.645885,-8,R
8142604.040186,-9,L
8142734.513329,-10,L
8142761.856498,-11,L
8142920.070674,-10,R
8142986.976011,-11,L
8143528.057494,-10,R
8144919.647698,-9,R
8147808.140078,-8,R
8148718.028534,-9,L
8148870.711792,-10,L
8149045.346187,-11,L
8149474.364488,-10,R
8149883.120566,-9,R
8152830.914169,-8,R
8154439.966326,-9,L
8154462.225625,-10,L
8154826.282128,-9,R
8156262.035514,-10,L
8156621.701246,-11,L
8156699.855027,-10,R
8156814.472274,-9,R
8156905.540043,-8,R
8157316.870686,-7,R
8157356.884902,-6,R
8157468.251153,-5,R
8157492.88239,-4,R
8157513.051393,-3,R
8157533.875477,-2,R
8157573.232224,-1,R
8157616.459956,0,R
8157653.944977,1,R
8157692.275854,2,R
8157783.134255,3,R
8157803.848304,4,R
8157830.422376,5,R
8157880.050584,6,R
8157944.258119,5,L
8157955.104533,4,L
8157963.652729,3,L
8157971.429254,2,L
8157979.260279,1,L
8157987.365742,0,L
8157995.637925,-1,L
8158004.355674,-2,L
8158015.049257,-3,L
8158030.943764,-4,L
8158084.679749,-5,L
8158114.083325,-6,L
8158180.266139,-5,R
8158307.726504,-4,R
8159108.830572,-3,R
8159717.247518,-2,R
8159759.683653,-1,R
8159793.620609,0,R
8159876.7488,1,R
8159911.98614,2,R
8160104.112588,1,L
8160216.363675,0,L
8160252.421037,-1,L
8160277.574116,-2,L
8160338.147977,-1,R
8160495.12375,0,R
8160525.855561,1,R
8161592.726756,2,R
8163231.342657,3,R
8163587.741449,2,L
8164300.212131,3,R
8164596.197986,2,L
8164627.601507,1,L
8164742.114997,2,R
8164772.191746,3,R
8164788.749371,4,R
8164804.84493,5,R
8164824.690217,6,R
8164890.723274,7,R
8164929.994504,8,R
8164958.318359,9,R
8164992.145003,10,R
8165049.699603,9,L
8165062.669701,8,L
8165074.358562,7,L
8165087.077275,6,L
8165104.429626,5,L
8165480.219287,4,L
8166383.356501,3,L
8166438.391462,2,L
8166545.007744,1,L
8167123.245592,2,R
8171167.031194,3,R
8172997.156116,2,L
8173117.391687,1,L
8173243.3346,0,L
8173927.119658,-1,L
8174091.241135,-2,L
8174123.649971,-3,L
8174485.417629,-2,R
8175341.605051,-1,R
8178389.676187,0,R
8182361.505816,-1,L
8182394.937078,-2,L
8182424.555595,-3,L
8182453.321275,-4,L
8182510.503124,-3,R
8182566.850876,-4,L
8182977.316761,-3,R
8183144.423906,-2,R
8183554.234525,-3,L
8183653.17054,-2,R
8183805.265162,-1,R
8184116.2938,0,R
8184801.973567,1,R
8186792.038716,2,R
8189683.898778,3,R
8189950.952921,4,R
8189965.880964,5,R
8189979.036854,6,R
8189995.542221,7,R
8190018.45873,8,R
8190041.401035,9,R
8190064.459522,10,R
8190087.59925,11,R
8190154.514847,12,R
8190224.634868,13,R
8190264.164131,14,R
8190291.256045,15,R
8190310.0295,16,R
8190323.833767,17,R
8190335.014564,18,R
8190344.981827,19,R
8190353.784074,20,R
8190361.968907,21,R
8190369.714396,22,R
8190377.115483,23,R
8190384.102856,24,R
8190390.595831,25,R
8190396.885031,26,R
8190403.243971,27,R
8190409.766038,28,R
8190416.281641,29,R
8190422.801597,30,R
8190429.384922,31,R
8190436.116836,32,R
8190443.270799,33,R
8190450.614406,34,R
8190458.4463,35,R
8190466.761223,36,R
8190476.070924,37,R
8190486.32596,38,R
8190496.706253,39,R
8190506.578499,40,R
8190515.993939,41,R
8190524.833,42,R
8190532.910612,43,R
8190540.550862,44,R
8190547.911191,45,R
8190555.042432,46,R
8190561.928548,47,R
8190568.583871,48,R
8190575.052809,49,R
8190581.406138,50,R
8190587.684727,51,R
8190593.951391,52,R
8190600.213481,53,R
8190606.549125,54,R
8190612.96073,55,R
8190619.599758,56,R
8190626.654129,57,R
8190634.145493,58,R
8190642.161496,59,R
8190650.561121,60,R
8190659.562401,61,R
8190669.192134,62,R
8190679.654739,63,R
8190692.415711,64,R
8190711.656713,65,R
8190761.247811,66,R
8190807.320825,67,R
8190830.010653,68,R
8190845.16021,69,R
8190856.856979,70,R
8190866.369732,71,R
8190874.860892,72,R
8190882.770341,73,R
8190890.588477,74,R
8190898.14508,75,R
8190905.967715,76,R
8190913.666946,77,R
8190921.22316,78,R
8190928.549694,79,R
8190935.680527,80,R
8190942.638234,81,R
8190949.49322,82,R
8190956.190172,83,R
8190962.879236,84,R
8190969.579799,85,R
8190976.279288,86,R
8190983.136978,87,R
8190988.841875,88,R
8190994.614529,89,R
8191000.233742,90,R
8191005.672106,91,R
8191010.98999,92,R
8191016.171433,93,R
8191021.294044,94,R
8191026.401154,95,R
8191031.47547,96,R
8191036.561877,97,R
8191041.665284,98,R
8191046.854245,99,R
8191052.163852,100,R
8191057.659104,101,R
8191063.409166,102,R
8191069.534814,103,R
8191076.163212,104,R
8191083.362563,105,R
8191091.203902,106,R
8191099.961242,107,R
8191110.180093,108,R
8191120.916806,109,R
8191132.786516,110,R
8191144.54782,111,R
8191155.423826,112,R
8191165.632492,113,R
8191175.303835,114,R
8191184.642239,115,R
8191193.893367,116,R
8191203.318547,117,R
8191213.004094,118,R
8191222.633029,119,R
8191231.91325,120,R
8191240.566555,121,R
8191248.667223,122,R
8191256.284566,123,R
8191263.561415,124,R
8191270.62049,125,R
8191277.546234,126,R
8191284.509756,127,R
8191291.910788,128,R
8191300.293246,129,R
8191310.706372,130,R
8191325.911929,131,R
8191373.825576,132,R
8191464.382928,133,R
8191539.263752,134,R
8191582.466595,135,R
8191606.467696,136,R
8191628.226967,137,R
8191648.976793,138,R
8191668.545807,139,R
8191687.740255,140,R
8191703.142048,141,R
8191715.672321,142,R
8191725.746248,143,R
8191734.7029,144,R
8191742.935028,145,R
8191750.479576,146,R
8191757.470634,147,R
8191764.293695,148,R
8191771.172459,149,R
8191778.003835,150,R
8191784.773304,151,R
8191791.428628,152,R
8191797.974472,153,R
8191804.24758,154,R
8191810.215249,155,R
8191815.950719,156,R
8191821.481507,157,R
8191826.954222,158,R
8191832.528602,159,R
8191838.209147,160,R
8191843.966783,161,R
8191849.897286,162,R
8191856.170932,163,R
8191863.048881,164,R
8191870.961422,165,R
8191880.896723,166,R
8191895.82097,167,R
8191921.73985,168,R
8191949.476216,169,R
8191976.974531,170,R
8192002.383587,171,R
8192022.946009,172,R
8192041.705483,173,R
8192058.884763,174,R
8192072.327611,175,R
8192083.276375,176,R
8192092.23986,177,R
8192100.122476,178,R
8192107.253568,179,R
8192114.077352,180,R
8192120.417903,181,R
8192126.633345,182,R
8192132.758604,183,R
8192138.950455,184,R
