time,position,direction
6123303.506944,0,
6127231.958539,1,R
6127272.334098,2,R
6127300.751698,3,R
6127324.934779,4,R
6127347.644552,5,R
6127371.475676,6,R
6127405.780729,7,R
6127467.171221,8,R
6127564.599958,7,L
6127586.203953,6,L
6127607.876763,5,L
6127629.297225,4,L
6127646.161488,3,L
6127659.27665,2,L
6127670.80232,1,L
6127681.088846,0,L
6127690.487349,-1,L
6127699.587784,-2,L
6127709.178988,-3,L
6127719.358015,-4,L
6127730.675523,-5,L
6127745.865186,-6,L
6127799.742955,-5,R
6127812.412106,-4,R
6127821.735444,-3,R
6127829.989227,-2,R
6127837.718593,-1,R
6127845.835656,0,R
6127854.562931,1,R
6127864.94151,2,R
6127879.541498,3,R
6127997.790855,4,R
6128021.428909,5,R
6128056.0824,6,R
6128120.44784,7,R
6128139.522472,8,R
6128157.09126,9,R
6128176.102079,10,R
6128195.821126,11,R
6128289.30295,12,R
6128324.991257,13,R
6128423.044317,12,L
6128441.544607,11,L
6128457.722512,10,L
6128472.165539,9,L
6128489.880121,8,L
6128513.724745,7,L
6128535.604477,6,L
6128551.164577,5,L
6128564.383422,4,L
6128577.405178,3,L
6128590.318769,2,L
6128603.433486,1,L
6128617.250654,0,L
6128632.979307,-1,L
6128660.128244,-2,L
6128695.881957,-3,L
6128714.224843,-4,L
6128729.404413,-5,L
6128743.730535,-6,L
6128758.993493,-7,L
6128776.096437,-8,L
6128794.227808,-9,L
6128817.248854,-10,L
6128871.536783,-9,R
6128889.971982,-8,R
6128903.595764,-7,R
6128915.812478,-6,R
6128928.598997,-5,R
6128945.312671,-4,R
6129045.912094,-3,R
6129060.076126,-2,R
6129071.445429,-1,R
6129081.119483,0,R
6129089.425987,1,R
6129097.385923,2,R
6129104.953977,3,R
6129112.482625,4,R
6129119.925514,5,R
6129127.514068,6,R
6129135.147269,7,R
6129142.978207,8,R
6129151.613095,9,R
6129162.592515,10,R
6129179.566462,11,R
6129372.715151,10,L
6129399.090731,9,L
6129437.627211,8,L
6129467.890279,9,R
6129483.766152,10,R
6129498.881704,11,R
6129514.21992,12,R
6129530.066923,13,R
6129551.084411,14,R
6129623.660134,13,L
6129706.45481,14,R
6129769.02017,13,L
6129795.4926,12,L
6129817.632309,11,L
6129874.215809,12,R
6129900.697369,13,R
6129972.573197,14,R
6130020.119132,15,R
6130095.597139,14,L
6130196.515704,13,L
6130235.452937,12,L
6130258.87366,11,L
6130280.419324,10,L
6130298.016871,9,L
6130311.756892,8,L
6130322.519039,7,L
6130331.364978,6,L
6130339.132732,5,L
6130346.307589,4,L
6130353.066528,3,L
6130359.368863,2,L
6130365.309112,1,L
6130371.053512,0,L
6130376.769283,-1,L
6130382.610386,-2,L
6130388.562727,-3,L
6130394.557068,-4,L
6130400.67885,-5,L
6130407.100332,-6,L
6130414.060952,-7,L
6130421.791484,-8,L
6130430.137784,-9,L
6130439.909411,-10,L
6130455.283385,-11,L
6130570.494833,-12,L
6130682.969865,-11,R
6130697.239525,-10,R
6130707.971339,-9,R
6130717.879352,-8,R
6130727.408872,-7,R
6130736.854912,-6,R
6130747.44458,-5,R
6130760.746331,-4,R
6130864.799805,-3,R
6130901.214897,-2,R
6130996.344729,-3,L
6131165.564648,-4,L
6131215.552967,-5,L
6131851.53385,-4,R
6133554.483927,-3,R
6136741.653988,-2,R
6143031.688813,-1,R
6147484.114957,0,R
6147536.089668,1,R
6147589.466669,2,R
6147624.840816,3,R
6148306.506119,2,L
6148626.471188,1,L
6149733.70538,2,R
6149902.066686,3,R
6150058.90945,4,R
6150227.94193,5,R
6150405.455763,6,R
6150522.547642,5,L
6150908.275906,4,L
6150934.777206,3,L
6150978.227416,2,L
6151001.195019,1,L
6151018.875416,0,L
6151034.086504,-1,L
6151047.490457,-2,L
6151061.36281,-3,L
6151073.619542,-4,L
6151084.932402,-5,L
6151095.885323,-6,L
6151106.864929,-7,L
6151117.317322,-8,L
6151128.271392,-9,L
6151140.03091,-10,L
6151152.363123,-11,L
6151166.147384,-12,L
6151182.629098,-13,L
6151216.176702,-14,L
6151313.306224,-15,L
6151457.816128,-16,L
6151578.877032,-15,R
6151605.96497,-14,R
6151625.861088,-13,R
6151645.477304,-12,R
6151667.673031,-11,R
6151704.726519,-10,R
6151804.908517,-9,R
6151841.300465,-8,R
6151877.251052,-7,R
6151909.795674,-6,R
6151935.302667,-5,R
6151958.866101,-4,R
6151989.904151,-3,R
6152195.854916,-2,R
6152234.715557,-1,R
6152281.878515,0,R
6152397.945468,-1,L
6152516.450617,-2,L
6152552.486795,-3,L
6152573.539683,-4,L
6152591.481931,-5,L
6152607.986607,-6,L
6152623.994073,-7,L
6152638.395359,-8,L
6152653.256337,-9,L
6152671.608982,-10,L
6152696.242998,-11,L
6152761.85684,-12,L
6152796.962079,-13,L
6152839.406774,-14,L
6153073.481318,-13,R
