time,position,direction
11808358.442279,0,
11808408.327591,1,R
11808445.028339,2,R
11808492.930338,3,R
11808512.096067,4,R
11808528.16078,5,R
11808543.243883,6,R
11808558.520723,7,R
11808574.941282,8,R
11808774.139798,7,L
11808798.680758,6,L
11808824.70432,5,L
11808920.353376,4,L
11809093.744975,5,R
11809181.459551,6,R
11809201.234713,7,R
11809217.120504,8,R
11809239.816388,9,R
11809308.521584,10,R
11809325.404634,11,R
11809338.037247,12,R
11809349.062186,13,R
11809359.376768,14,R
11809369.42654,15,R
11809379.01208,16,R
11809389.955058,17,R
11809402.941404,18,R
11809419.101116,19,R
11809438.439508,20,R
11809465.59916,21,R
11809504.659048,20,L
11809535.090582,19,L
11809638.686135,18,L
11809668.447737,17,L
11809736.124045,18,R
11809890.796332,19,R
11809926.552358,20,R
11809959.659878,21,R
11809981.003713,22,R
11809995.092039,23,R
11810006.422527,24,R
11810016.410616,25,R
11810025.610663,26,R
11810034.160908,27,R
11810042.17596,28,R
11810049.635133,29,R
11810056.562928,30,R
11810063.002176,31,R
11810069.042265,32,R
11810074.683806,33,R
11810080.041279,34,R
11810085.165255,35,R
11810090.09681,36,R
11810094.865608,37,R
11810099.487002,38,R
11810104.024324,39,R
11810108.391685,40,R
11810112.68603,41,R
11810116.916523,42,R
11810121.138777,43,R
11810125.381233,44,R
11810129.654041,45,R
11810133.981311,46,R
11810138.35932,47,R
11810142.821458,48,R
11810147.387834,49,R
11810152.097634,50,R
11810157.016355,51,R
11810162.184553,52,R
11810167.634394,53,R
11810173.431507,54,R
11810179.634574,55,R
11810186.495666,56,R
11810194.501218,57,R
11810204.035481,58,R
11810216.138067,59,R
11810465.116176,60,R
11810506.777867,61,R
11810543.620186,62,R
11810587.204452,63,R
11810621.02694,64,R
11810642.956394,65,R
11810657.986887,66,R
11810669.520982,67,R
11810679.04745,68,R
11810687.253461,69,R
11810694.959352,70,R
11810702.559522,71,R
11810710.223932,72,R
11810717.896268,73,R
11810725.540216,74,R
11810733.171608,75,R
11810741.0207,76,R
11810749.286321,77,R
11810758.30665,78,R
11810768.536807,79,R
11810781.568708,80,R
11810804.123188,81,R
11810876.371984,82,R
11810895.16722,83,R
11810907.295952,84,R
11810916.795883,85,R
11810925.028783,86,R
11810932.558288,87,R
11810939.91487,88,R
11810947.527874,89,R
11810956.053286,90,R
11810966.148484,91,R
11810978.723449,92,R
11811173.270517,93,R
11811195.022456,94,R
11811209.560254,95,R
11811221.5916,96,R
11811232.550503,97,R
11811243.460315,98,R
11811254.626584,99,R
11811265.314622,100,R
11811275.520466,101,R
11811285.354316,102,R
11811294.738731,103,R
11811303.924741,104,R
11811313.196843,105,R
11811323.116785,106,R
11811334.65251,107,R
11811346.996128,108,R
11811360.583537,109,R
11811374.948598,110,R
11811389.162217,111,R
11811401.772811,112,R
11811412.20252,113,R
11811421.364384,114,R
11811429.691855,115,R
11811437.380283,116,R
11811444.654312,117,R
11811451.533718,118,R
11811458.169778,119,R
11811464.627507,120,R
11811471.123421,121,R
11811477.699092,122,R
11811484.343429,123,R
11811491.057561,124,R
11811497.845136,125,R
11811504.876243,126,R
11811512.406304,127,R
11811521.074084,128,R
11811532.18554,129,R
11811548.234958,130,R
11811571.243392,131,R
11811591.085811,132,R
11811605.053546,133,R
11811617.089873,134,R
11811628.150756,135,R
11811639.51817,136,R
11811653.011747,137,R
11811670.103701,138,R
11811702.560789,139,R
11811749.470973,140,R
11811769.025139,141,R
11811784.877616,142,R
11811799.202214,143,R
11811813.054063,144,R
11811826.675952,145,R
11811841.415784,146,R
11811870.456529,147,R
11811907.686934,146,L
11812027.990688,147,R
11812059.290668,148,R
11812078.406194,149,R
11812292.877162,150,R
11812327.120049,151,R
11812352.970096,152,R
11815665.876294,153,R
11819545.7237,154,R
11819684.690267,155,R
11819707.7562,156,R
11819735.0532,157,R
11819770.124054,158,R
11819804.916134,159,R
11819847.654694,160,R
11820162.986656,161,R
11820182.911611,162,R
11820199.445575,163,R
11820215.896652,164,R
11820230.698315,165,R
11820248.926118,166,R
11820271.147529,167,R
11820347.482285,166,L
11820370.023765,165,L
11820385.7098,164,L
11820398.660647,163,L
11820409.905063,162,L
11820419.709655,161,L
11820428.654856,160,L
11820436.916921,159,L
11820444.800142,158,L
11820452.93158,157,L
11820462.24083,156,L
11820475.246879,155,L
11820634.670595,156,R
11820777.640198,157,R
11820799.491672,158,R
11820823.082224,159,R
11820847.248136,160,R
11820873.670672,161,R
11820900.587921,162,R
11820924.172473,163,R
11821107.207501,164,R
11821129.992402,165,R
11821146.869748,166,R
11821163.800779,167,R
11821179.77342,168,R
11821199.703042,169,R
11821284.295252,168,L
11821404.815151,169,R
11821423.176247,170,R
11821442.812096,171,R
11821466.936842,172,R
11821488.957406,173,R
11821510.386537,174,R
11821687.310754,175,R
11821978.139273,176,R
11822066.255824,177,R
11822103.055218,178,R
11822252.38683,179,R
11822348.210549,180,R
11822362.971732,181,R
11822373.505235,182,R
11822382.312217,183,R
11822390.223122,184,R
11822397.602352,185,R
11822404.355946,186,R
11822410.758973,187,R
11822416.896968,188,R
11822422.854355,189,R
11822428.784409,190,R
11822434.621335,191,R
11822440.400596,192,R
11822446.086951,193,R
11822451.808139,194,R
11822457.265869,195,R
11822462.826782,196,R
11822468.339918,197,R
11822473.872202,198,R
11822479.6075,199,R
11822485.848437,200,R
11822492.643327,201,R
11822499.759414,202,R
11822507.679245,203,R
11822516.777147,204,R
11822528.34539,205,R
11822544.177109,206,R
11822568.649218,207,R
11822588.468287,208,R
11822603.192563,209,R
11822617.11728,210,R
11822631.185273,211,R
11822644.069362,212,R
11822655.23289,213,R
11822665.496288,214,R
11822674.918239,215,R
11822683.308728,216,R
11822690.878029,217,R
11822697.900451,218,R
11822704.392347,219,R
11822710.331438,220,R
11822715.849055,221,R
11822721.058179,222,R
11822726.112268,223,R
11822731.116914,224,R
11822736.109301,225,R
11822741.094187,226,R
11822746.081074,227,R
11822751.045925,228,R
11822756.12468,229,R
11822761.483004,230,R
11822767.247673,231,R
11822773.704198,232,R
11822781.007967,233,R
11822789.185553,234,R
11822799.141068,235,R
11822814.062785,236,R
11822839.089569,237,R
11822868.923003,238,R
11822922.031051,239,R
11822959.880296,240,R
11823009.615186,241,R
11823036.300179,242,R
11823065.987079,243,R
11823214.096584,244,R
11823235.347699,245,R
11823253.792961,246,R
11823270.958135,247,R
11823286.839278,248,R
11823299.327578,249,R
11823309.288741,250,R
11823318.017261,251,R
11823326.102515,252,R
11823333.655371,253,R
11823340.690793,254,R
11823347.262335,255,R
11823353.48431,256,R
11823359.486548,257,R
11823365.421158,258,R
11823371.34573,259,R
11823377.339746,260,R
11823383.49113,261,R
11823389.932915,262,R
11823396.759322,263,R
11823404.074832,264,R
11823412.127253,265,R
11823421.018325,266,R
11823430.473831,267,R
11823440.087834,268,R
11823449.411564,269,R
11823458.461244,270,R
11823466.948417,271,R
11823474.78636,272,R
11823482.107018,273,R
11823489.151088,274,R
11823495.785907,275,R
11823502.113786,276,R
11823508.318132,277,R
11823514.431923,278,R
11823520.612195,279,R
11823526.903594,280,R
11823533.418341,281,R
11823540.131936,282,R
11823547.029249,283,R
11823554.21115,284,R
11823561.817098,285,R
11823569.682005,286,R
11823577.571725,287,R
11823586.054083,288,R
11823593.091357,289,R
11823600.71249,290,R
11823608.412436,291,R
11823616.691316,292,R
11823626.357522,293,R
11823638.046763,294,R
11823652.379306,295,R
11823671.48111,296,R
11823708.316263,297,R
11823736.764742,298,R
11823752.897825,299,R
11823764.12789,300,R
11823772.896131,301,R
11823780.164104,302,R
11823786.50928,303,R
11823792.308522,304,R
11823797.676642,305,R
11823802.695491,306,R
11823807.441123,307,R
11823811.975408,308,R
11823816.357695,309,R
11823820.628892,310,R
11823824.893015,311,R
11823829.231562,312,R
11823833.688237,313,R
11823838.364833,314,R
11823843.22163,315,R
11823848.289997,316,R
11823853.605562,317,R
11823859.28127,318,R
11823865.357062,319,R
11823871.870309,320,R
11823878.763141,321,R
11823886.164445,322,R
11823894.270921,323,R
11823903.207121,324,R
11823912.826791,325,R
11823922.720807,326,R
11823933.125943,327,R
11823944.154863,328,R
11823955.182617,329,R
11823966.481791,330,R
11823978.65556,331,R
11823992.246228,332,R
11824009.059835,333,R
11824032.116768,334,R
11824053.97728,335,R
11824075.145359,336,R
11824104.540191,337,R
11824160.845048,336,L
11824206.48346,337,R
11824220.409474,338,R
11824231.043328,339,R
11824240.278338,340,R
11824248.724215,341,R
11824256.400384,342,R
11824263.571118,343,R
11824270.501264,344,R
11824277.303283,345,R
11824284.19656,346,R
11824291.348961,347,R
11824298.918059,348,R
11824307.239771,349,R
11824316.68824,350,R
11824326.731198,351,R
11824337.103445,352,R
11824349.160754,353,R
11824399.768053,352,L
11824414.146206,351,L
11824429.058164,350,L
11824453.598846,349,L
11824561.758516,350,R
11824587.515083,351,R
11824611.632144,352,R
11824651.506314,353,R
11824675.565135,354,R
11824695.219651,355,R
11824715.934221,356,R
11824739.670456,357,R
11824761.781944,358,R
11824779.639198,359,R
11824796.194958,360,R
11824814.189079,361,R
11824832.687765,362,R
11824853.029009,363,R
11824880.54945,364,R
11824904.484107,365,R
11824923.263566,366,R
11824942.296779,367,R
