time,position,direction
17191294.830104,0,
17195312.633311,1,R
17198182.134494,2,R
17200157.314898,1,L
17200476.392295,2,R
17202267.503237,3,R
17207226.401458,4,R
17209321.206897,3,L
17210578.10538,2,L
17210623.160563,1,L
17211447.259327,2,R
17212343.726314,3,R
17217047.3033,4,R
17218676.689893,3,L
17218771.605069,4,R
17219104.884114,3,L
17219246.629697,4,R
17219488.355942,5,R
17219509.208579,6,R
17219522.036828,7,R
17219534.920687,8,R
17219556.692897,9,R
17219639.350571,8,L
17219830.036424,9,R
17219860.114811,10,R
17219885.783699,11,R
17219912.522916,12,R
17219937.068605,13,R
17219958.722854,14,R
17219981.203031,15,R
17220009.801857,16,R
17220049.521987,17,R
17220079.623763,18,R
17220096.412837,19,R
17220109.773094,20,R
17220120.939008,21,R
17220130.96339,22,R
17220141.479355,23,R
17220154.794242,24,R
17220170.074051,25,R
17220189.709621,26,R
17220249.572532,27,R
17220423.307852,26,L
17220492.649602,25,L
17220530.459327,24,L
17220563.291213,23,L
17220815.668958,24,R
17220954.178997,25,R
17221007.539434,26,R
17221024.162141,27,R
17221036.512475,28,R
17221046.679447,29,R
17221055.337321,30,R
17221063.68622,31,R
17221073.084726,32,R
17221087.021749,33,R
17221142.469457,32,L
17221195.181666,31,L
17221243.377563,30,L
17221364.033682,29,L
17221419.088935,28,L
17221447.861498,27,L
17221532.203878,26,L
17221574.382475,25,L
17221608.631998,24,L
17221829.509107,23,L
17222022.770592,24,R
17222051.540859,25,R
17222100.145711,26,R
17222136.444654,27,R
17222643.221549,26,L
17222689.360415,25,L
17222716.200982,24,L
17222737.397982,23,L
17222784.778655,22,L
17222852.208742,21,L
17223009.441149,22,R
17223027.197462,23,R
17223055.749141,24,R
17223127.367363,23,L
17223147.819434,22,L
17223166.549208,21,L
17223183.958047,20,L
17223200.684604,19,L
17223215.692826,18,L
17223229.432297,17,L
17223243.014994,16,L
17223256.879167,15,L
17223275.723827,14,L
17223367.061654,13,L
17223533.908212,14,R
17223816.951687,13,L
17223849.891682,12,L
17223875.113283,11,L
17223901.011296,10,L
17223941.092011,9,L
17223989.178003,8,L
17224012.503496,7,L
17224044.950797,6,L
17224184.704739,5,L
17224213.513339,4,L
17224236.190771,3,L
17224259.254714,2,L
17224301.812951,1,L
17224624.033347,0,L
17224688.041636,1,R
17224722.309492,2,R
17224766.216849,3,R
17224831.016769,2,L
17224907.611201,3,R
17225038.610956,4,R
17225172.981196,5,R
17225623.381222,4,L
17225680.860629,3,L
17225758.29608,4,R
17225785.162092,5,R
17225818.316619,6,R
17225886.216104,7,R
17225917.951365,8,R
17225938.485046,9,R
17225961.112424,10,R
17226053.396934,11,R
17226240.113541,12,R
17226746.799335,13,R
17227793.596593,12,L
17228634.174212,11,L
17228663.258603,10,L
17228688.140174,9,L
17228723.145108,8,L
17228797.065208,7,L
17228915.85885,8,R
17228959.376698,9,R
17228991.137237,10,R
17229046.001699,11,R
17229137.609466,12,R
