time,position,direction
10951800.326339,0,
10952623.995664,1,R
10953199.165412,0,L
10953676.180411,-1,L
10953784.248762,-2,L
10953829.839196,-3,L
10953928.042574,-2,R
10954338.636458,-3,L
10954656.932959,-4,L
10954794.935572,-5,L
10955301.416659,-6,L
10955517.053333,-5,R
10955605.888748,-4,R
10955659.221993,-3,R
10955750.437806,-4,L
10956539.746505,-5,L
10957036.465121,-4,R
10957549.197552,-5,L
10957593.12502,-6,L
10957675.349399,-7,L
10957839.249817,-6,R
10957885.5897,-5,R
10958126.146385,-6,L
10958162.292488,-7,L
10958190.871258,-8,L
10958217.177295,-9,L
10958422.044721,-10,L
10958759.243742,-9,R
10958998.039519,-10,L
10959677.495038,-9,R
10959911.665443,-8,R
10960421.101666,-7,R
10969851.332461,-6,R
10969990.685423,-5,R
10970550.182178,-4,R
10980426.012934,-5,L
10980465.999667,-6,L
10980495.158132,-7,L
10980643.687586,-6,R
10980756.605498,-5,R
10980872.583369,-4,R
10981165.45873,-5,L
10981191.577162,-6,L
10981220.419855,-7,L
10981455.903898,-8,L
10981475.34309,-9,L
10981496.821872,-10,L
10981524.148891,-11,L
10981561.63684,-10,R
10981579.207403,-9,R
10981603.490704,-8,R
10981837.889232,-9,L
10981863.561098,-10,L
10981884.762756,-11,L
10982058.709286,-10,R
10982120.150228,-9,R
10982211.636562,-8,R
10982383.274785,-7,R
10982440.079096,-6,R
10982490.243111,-5,R
10983011.761893,-6,L
10983155.348574,-7,L
10983263.371473,-8,L
10983299.947736,-9,L
10983318.74196,-10,L
10983337.175876,-11,L
10983365.073532,-12,L
10983465.44658,-13,L
10983568.464818,-14,L
10983595.341846,-15,L
10983617.500133,-16,L
10983676.24248,-15,R
10983801.558854,-14,R
10983845.972594,-13,R
10983937.495427,-12,R
10984138.198711,-13,L
10984165.814947,-14,L
10984262.040725,-13,R
10984283.264308,-12,R
10984313.106723,-11,R
10984504.632797,-10,R
10985349.781288,-9,R
10985417.241501,-8,R
10985518.173317,-7,R
10985594.281565,-6,R
10985637.408293,-5,R
10985799.231822,-4,R
10985966.083641,-3,R
10986024.682139,-2,R
10986251.815942,-3,L
10986294.382626,-4,L
10986311.78821,-5,L
10986325.578736,-6,L
10986338.530815,-7,L
10986351.376693,-8,L
10986365.143404,-9,L
10986382.154219,-10,L
10986432.681857,-9,R
10986493.119042,-10,L
10986522.201693,-11,L
10986649.804264,-12,L
10986669.069146,-13,L
10986692.621906,-14,L
10986832.577605,-15,L
10987458.026614,-16,L
10987518.728331,-17,L
10987560.973225,-18,L
10987589.799789,-19,L
10987745.569252,-18,R
10987859.255523,-19,L
10987878.241465,-20,L
10987896.217964,-21,L
10987906.389006,-22,L
10987919.465286,-23,L
10987933.780172,-24,L
10987955.375563,-25,L
10988037.185977,-26,L
10988063.057377,-27,L
10988083.804711,-28,L
10988101.573048,-29,L
10988117.488884,-30,L
10988132.608939,-31,L
10988151.653732,-32,L
10988234.061764,-33,L
10988369.623328,-34,L
10988458.722358,-33,R
10988549.085493,-32,R
10988568.116824,-31,R
10988629.894538,-32,L
10988654.224728,-33,L
10988684.784943,-34,L
10989113.393872,-35,L
10989367.487908,-34,R
10991669.704903,-35,L
10995429.685112,-34,R
10997654.419778,-35,L
10998574.084973,-36,L
10998613.681271,-37,L
10998702.139021,-36,R
10998902.784056,-35,R
11003977.919207,-36,L
11004098.409683,-35,R
11004153.711046,-34,R
11004637.513544,-35,L
11007786.749564,-34,R
11008665.295072,-35,L
11008735.484107,-36,L
11008857.441779,-37,L
11008878.248946,-38,L
11008895.348371,-39,L
11008910.417373,-40,L
11008924.183659,-41,L
11008937.199071,-42,L
11008950.633827,-43,L
11008972.575806,-44,L
11009005.546254,-43,R
11009022.437349,-42,R
11009039.881638,-41,R
11009061.527752,-40,R
11009400.400923,-39,R
11009487.52985,-38,R
11009568.108182,-39,L
11009686.990358,-40,L
11010006.30258,-41,L
11011243.008594,-40,R
11011662.925814,-39,R
11013693.414678,-40,L
11015663.068947,-39,R
11020585.833064,-40,L
11020862.04134,-41,L
11021217.475108,-40,R
11021269.646849,-39,R
11022003.836301,-40,L
11022170.729656,-39,R
11022324.3194,-40,L
11022551.387729,-41,L
11023802.527637,-40,R
11026538.598351,-39,R
11033552.992893,-40,L
11043617.524956,-41,L
11047619.974481,-40,R
11047720.388289,-39,R
11047871.161247,-38,R
11048504.936483,-37,R
11050693.43923,-36,R
11051461.582379,-37,L
11052493.937119,-38,L
11052655.314243,-37,R
11053218.393084,-38,L
11054060.251455,-37,R
11054374.808012,-38,L
11057421.293914,-37,R
11060211.936955,-36,R
11062327.537444,-35,R
11062454.780531,-36,L
11062545.72223,-35,R
11063097.085423,-34,R
11063249.537911,-35,L
11063465.847215,-36,L
11064671.32452,-37,L
11077859.352414,-36,R
11084736.566581,-35,R
11085332.443167,-36,L
11085399.698922,-37,L
11085544.424419,-38,L
11085595.448062,-39,L
11085612.981501,-40,L
11085627.113561,-41,L
11085640.131087,-42,L
11085657.367846,-43,L
11085710.860867,-42,R
11085727.269309,-41,R
11085745.105539,-40,R
11085862.669728,-39,R
11086224.721264,-40,L
11086524.889033,-41,L
11086586.93763,-42,L
11086734.051656,-43,L
11086855.7121,-44,L
11087081.095186,-45,L
11087112.766796,-46,L
11087132.581191,-47,L
11087152.706116,-48,L
11087176.726208,-49,L
11087201.61656,-50,L
11087226.280823,-51,L
11087381.276438,-50,R
11087774.033196,-51,L
11087864.789108,-52,L
11087896.098336,-53,L
11087922.06189,-54,L
11088115.814366,-53,R
11088343.754108,-54,L
11089505.422689,-55,L
11090386.296515,-54,R
11095627.144168,-55,L
11095907.386441,-54,R
