time,position,direction
2768553.699501,0,
2771621.719895,1,R
2773434.84237,2,R
2774910.018076,1,L
2775811.304331,0,L
2775910.553517,-1,L
2776078.356248,-2,L
2776628.063754,-1,R
2776658.015113,0,R
2776847.049969,-1,L
2776888.936208,-2,L
2777017.637559,-3,L
2777239.994437,-2,R
2777342.414995,-3,L
2777421.573093,-4,L
2777450.187309,-5,L
2777486.565109,-6,L
2777554.621386,-5,R
2777583.897738,-4,R
2777697.827036,-3,R
2777836.571765,-2,R
2778104.367507,-3,L
2778165.293021,-4,L
2778201.400678,-5,L
2778281.373078,-4,R
2778318.579901,-3,R
2778423.230012,-2,R
2778547.456369,-1,R
2779302.899947,-2,L
2783055.445639,-3,L
2783210.671601,-4,L
2787579.827007,-5,L
2791298.30229,-6,L
2791416.990255,-5,R
2792825.753091,-6,L
2794962.754792,-7,L
2795011.053387,-8,L
2795084.33995,-9,L
2795174.685101,-10,L
2795386.609984,-11,L
2795475.437718,-12,L
2795776.083151,-13,L
2795921.58224,-14,L
2796288.056462,-15,L
2796674.304429,-16,L
2796759.857535,-15,R
2796860.469173,-16,L
2797179.307049,-17,L
2797202.588529,-18,L
2797260.647286,-17,R
2797274.698558,-16,R
2797287.420315,-15,R
2797304.697845,-14,R
2797614.281051,-15,L
2797655.679471,-16,L
2797699.183781,-17,L
2797732.818708,-18,L
2797879.371261,-19,L
2797904.071642,-20,L
2797920.291209,-21,L
2797935.441109,-22,L
2797949.26407,-23,L
2797962.468467,-24,L
2797975.5742,-25,L
2797989.107888,-26,L
2798004.162031,-27,L
2798037.301319,-26,R
2798054.93599,-25,R
2798070.019892,-24,R
2798087.869689,-23,R
2798221.062534,-24,L
2798249.256575,-25,L
2798270.291835,-26,L
2798342.648582,-25,R
2798524.264057,-24,R
2798551.828888,-23,R
2798580.574809,-22,R
2798688.374414,-21,R
2798758.815954,-20,R
2798929.495307,-21,L
2799207.235427,-20,R
2799490.85413,-19,R
2800256.307111,-18,R
2801014.096174,-17,R
2801903.250528,-16,R
2802601.78275,-15,R
2804832.091108,-14,R
2806955.074543,-13,R
2807003.722098,-12,R
2807910.709227,-11,R
2808626.323453,-10,R
2809314.503014,-9,R
2810342.239264,-8,R
2811539.42663,-9,L
2811632.853366,-10,L
2811687.139305,-11,L
2811749.118609,-12,L
2811870.866961,-13,L
2811965.179162,-12,R
2812072.319437,-11,R
2812113.13963,-10,R
2812230.440468,-9,R
2813167.873907,-8,R
2813361.000678,-7,R
2814000.23628,-8,L
2814061.485339,-9,L
2814275.579894,-8,R
2814675.109948,-7,R
2814880.422415,-6,R
2815014.857788,-5,R
2815782.421192,-4,R
2815993.837331,-5,L
2816269.834603,-6,L
2816427.019376,-7,L
2817098.629721,-6,R
2818595.923896,-5,R
2820135.936542,-4,R
2823228.13822,-3,R
2824428.723802,-4,L
2825314.080159,-5,L
2826199.210265,-4,R
2827000.108934,-5,L
2827090.955687,-6,L
2827129.525404,-7,L
2827225.469716,-8,L
2827406.98665,-7,R
2828120.125555,-6,R
2829501.727653,-5,R
2833042.160005,-4,R
2836193.862953,-5,L
2838208.648613,-6,L
2838610.943044,-5,R
2839741.506074,-6,L
2839927.284872,-5,R
2841333.127994,-6,L
2841484.487353,-7,L
2841571.1655,-8,L
2841618.388959,-9,L
2841724.10711,-10,L
2842611.214338,-11,L
2842667.942281,-12,L
2842707.200472,-13,L
2842744.310496,-14,L
2843310.615783,-15,L
2843819.341606,-16,L
2843962.268224,-17,L
2843990.545345,-18,L
2844050.335829,-17,R
2844209.116285,-16,R
2844698.91766,-15,R
2845349.722176,-14,R
2846429.166892,-13,R
2849338.892533,-12,R
2851458.238849,-11,R
2854542.195935,-12,L
2854594.37035,-13,L
2854634.11522,-14,L
2855012.984332,-13,R
2855452.309811,-12,R
2855792.11158,-11,R
2855990.745562,-12,L
2856136.701156,-11,R
2856991.540511,-10,R
2857474.322615,-9,R
2858002.381199,-10,L
2858977.520138,-9,R
2859739.294665,-8,R
2862306.835886,-7,R
2863871.165341,-6,R
2866130.199848,-5,R
2867531.25553,-4,R
2868982.871871,-5,L
2869066.53199,-4,R
2869917.654393,-3,R
2872247.817993,-4,L
2872357.939066,-5,L
2872606.251066,-6,L
2872792.066952,-5,R
2873097.614229,-6,L
2873358.010319,-7,L
2873652.340511,-8,L
2873968.702437,-9,L
2874134.186248,-8,R
2874762.39107,-7,R
2875399.560296,-6,R
2876011.063259,-5,R
2877089.435541,-4,R
2877505.110068,-5,L
2878134.186127,-4,R
2881106.910663,-5,L
2882010.171413,-4,R
2882869.21959,-3,R
2883082.836659,-2,R
2885699.255952,-1,R
2885868.481505,-2,L
2887932.908149,-1,R
2889355.593842,0,R
2891814.187225,1,R
2892692.876073,0,L
2892804.909292,1,R
2894545.689765,0,L
2894762.384294,1,R
2895825.561938,2,R
2896434.287661,1,L
2898154.019987,2,R
2898958.100465,3,R
2903510.881544,4,R
2905213.684625,5,R
2906343.406194,6,R
2909366.45028,5,L
2910959.209868,4,L
2910987.449463,3,L
2911979.039388,2,L
2912123.532049,1,L
2912267.724271,0,L
2912306.885144,-1,L
2912337.705047,-2,L
2912458.584368,-3,L
2912506.314115,-4,L
2912658.930768,-5,L
2912728.967044,-6,L
2912755.381596,-7,L
2912769.282138,-8,L
2912782.304713,-9,L
2912805.900998,-10,L
2912837.83455,-9,R
2912862.319672,-8,R
2913099.341839,-9,L
2913383.581725,-10,L
2913418.87946,-11,L
