time,position,direction
6176882.978222,0,
6181407.690934,-1,L
6181426.823324,-2,L
6181445.523313,-3,L
6181463.11256,-4,L
6181480.202856,-5,L
6181496.917096,-6,L
6181513.195805,-7,L
6181535.432543,-8,L
6181564.25738,-9,L
6181614.974952,-8,R
6181634.516472,-7,R
6181656.662237,-6,R
6181777.647381,-5,R
6182099.162688,-6,L
6182365.201221,-5,R
6183381.351152,-4,R
6184909.164429,-5,L
6185090.635325,-4,R
6186789.627588,-3,R
6192680.220333,-4,L
6192698.275971,-5,L
6192716.357624,-6,L
6192734.120549,-7,L
6192753.64138,-8,L
6192769.905152,-9,L
6192787.50813,-10,L
6192842.782844,-9,R
6192865.353511,-8,R
6192885.20281,-7,R
6193017.777439,-6,R
6193103.597537,-5,R
6193416.340524,-6,L
6193430.275169,-7,L
6193442.652499,-8,L
6193456.590589,-9,L
6193480.498613,-10,L
6193549.204252,-9,R
6193592.05409,-8,R
6193699.481055,-7,R
6194143.282825,-8,L
6194270.222568,-7,R
6194308.79939,-6,R
6194332.437384,-5,R
6194362.818455,-4,R
6194406.94693,-3,R
6194427.339346,-2,R
6194516.131774,-3,L
6194589.099922,-4,L
6194614.11401,-5,L
6194647.168958,-6,L
6194846.00984,-5,R
6194880.30104,-4,R
6194921.018755,-3,R
6195046.948743,-2,R
6195154.112119,-1,R
6195248.634593,-2,L
6195678.934787,-3,L
6197275.025891,-2,R
6201141.689327,-1,R
6202586.303606,-2,L
6202626.218091,-3,L
6202707.735919,-4,L
6202778.723243,-3,R
6203029.504435,-2,R
6203368.204314,-3,L
6203391.369493,-4,L
6203407.125652,-5,L
6203422.53325,-6,L
6203440.318679,-7,L
6203589.472892,-6,R
6203622.640371,-5,R
6203896.075884,-4,R
6205041.501105,-3,R
6206885.635967,-4,L
6206909.361718,-5,L
6207009.237476,-4,R
6207059.575558,-3,R
6207411.873197,-2,R
6214820.748398,-1,R
6217113.343574,-2,L
6217127.450822,-3,L
6217139.753979,-4,L
6217150.906705,-5,L
6217161.976698,-6,L
6217173.046376,-7,L
6217184.755402,-8,L
6217199.298221,-9,L
6217290.680477,-8,R
6217323.313139,-7,R
6217351.533561,-6,R
6217460.430771,-5,R
6217608.280648,-4,R
6218111.946014,-3,R
6220724.574933,-2,R
6222335.792416,-3,L
6222353.469142,-4,L
6222368.665337,-5,L
6222390.686145,-6,L
6222414.59826,-7,L
6222451.107756,-8,L
6222495.081032,-7,R
6222523.470165,-6,R
6222601.983713,-5,R
6222649.562103,-4,R
6222865.152746,-3,R
6223205.712115,-2,R
6223539.649754,-1,R
6223877.858736,0,R
6224081.731279,1,R
6224390.309015,2,R
6224601.10039,3,R
6224835.043576,4,R
6225029.739598,5,R
6225516.762747,6,R
6225770.839957,7,R
6225986.437038,8,R
6226363.153829,7,L
6226485.540032,8,R
6227160.661846,7,L
6227190.512972,6,L
6227210.657133,5,L
6227225.990973,4,L
6227240.033709,3,L
6227254.091241,2,L
6227268.757475,1,L
6227286.486134,0,L
6227329.37557,1,R
6227356.353754,2,R
6227408.355784,1,L
6227588.670264,0,L
6227784.588011,1,R
6227976.390559,2,R
6228047.968847,3,R
6228285.367478,2,L
6228314.199516,1,L
6228446.420719,2,R
6228844.509677,1,L
6228869.256812,0,L
6228894.275979,-1,L
6228922.066819,-2,L
6228945.939053,-3,L
6229019.651286,-2,R
6229113.176029,-1,R
6229345.5655,0,R
6230093.437732,1,R
6233085.500993,2,R
